Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"アンケート","デザイン","","","回答グループ","[""mainmenu"",""KM"",""Design""]","","","回答グループ"
"アンケート","デザイン","","","質問","[""mainmenu"",""KM"",""Design""]","","","質問"
"アンケート","デザイン","","","アンケート","[""mainmenu"",""KM"",""Design""]","","","アンケート"
"アンケート","デザイン","","","アンケート レポート","[""mainmenu"",""KM"",""Design""]","","","アンケート レポート"
"アンケート","デザイン","","","質問と回答レポート","[""mainmenu"",""KM"",""Design""]","","","質問と回答レポート"
"アンケート","配布","","","計画タイプ","[""mainmenu"",""KM"",""Distribute""]","","","計画タイプ"
"アンケート","配布","","","参照のタイプ","[""mainmenu"",""KM"",""Distribute""]","","","参照のタイプ"
"アンケート","配布","","","アンケート ユーザー グループ","[""mainmenu"",""KM"",""Distribute""]","","","アンケート ユーザー グループ"
"アンケート","配布","","","アンケートのスケジュール","[""mainmenu"",""KM"",""Distribute""]","","","アンケートのスケジュール"
"アンケート","配布","","","計画済回答セッション","[""mainmenu"",""KM"",""Distribute""]","","","計画済回答セッション"
"アンケート","配布","","","計画済回答セッション レポート","[""mainmenu"",""KM"",""Distribute""]","","","計画済回答セッション レポート"
"アンケート","配布","","","アンケートの記入","[""mainmenu"",""KM"",""Distribute""]","","","アンケートの記入"
"アンケート","配布","","","個人別計画済回答セッション レポート","[""mainmenu"",""KM"",""Distribute""]","","","個人別計画済回答セッション レポート"
"アンケート","結果の表示と分析","","","回答","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","回答"
"アンケート","結果の表示と分析","","","個人別回答","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","個人別回答"
"アンケート","結果の表示と分析","","","アンケート回答者","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","アンケート回答者"
"アンケート","結果の表示と分析","","","アンケート結果","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","アンケート結果"
"アンケート","結果の表示と分析","","","アンケートの統計情報","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","アンケートの統計情報"
"アンケート","結果の表示と分析","","","回答集計レポート","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","回答集計レポート"
"アンケート","結果の表示と分析","","","アンケート別回答レポート","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","アンケート別回答レポート"
"アンケート","結果の表示と分析","","","個人別回答レポート","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","個人別回答レポート"
"アンケート","結果の表示と分析","","","質問分析レポート","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","質問分析レポート"
"アンケート","結果の表示と分析","","","フィードバック分析レポート","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","フィードバック分析レポート"
"アンケート","結果の表示と分析","","","結果の削除","[""mainmenu"",""KM"",""ViewAndAnalyzeResults""]","","","結果の削除"
"アンケート","設定","","","アンケート パラメーター","[""mainmenu"",""KM"",""Setup""]","","","アンケート パラメーター"
"アンケート","設定","","","アンケートのタイプ","[""mainmenu"",""KM"",""Setup""]","","","アンケートのタイプ"
"アンケート","設定","","","質問タイプ","[""mainmenu"",""KM"",""Setup""]","","","質問タイプ"
