Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"エンジニアリング変更管理","ワークスペース","","","エンジニアリング変更管理","[""mainmenu"",""EngChgProductEngineering"",""Workspaces""]","","","エンジニアリング変更管理"
"エンジニアリング変更管理","共通","","","リリースされた製品","[""mainmenu"",""EngChgProductEngineering"",""Common""]","","","リリースされた製品"
"エンジニアリング変更管理","共通","エンジニアリング変更管理","","エンジニアリング変更命令","[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""EngChgEcmCommon""]","","エンジニアリング変更命令"
"エンジニアリング変更管理","共通","エンジニアリング変更管理","","エンジニアリング変更要求","[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""EngChgEcmCommon""]","","エンジニアリング変更要求"
"エンジニアリング変更管理","共通","製品リリース","","製品リリースを開く","[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""ProductRelease""]","","製品リリースを開く"
"エンジニアリング変更管理","共通","製品リリース","","すべての製品リリース","[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""ProductRelease""]","","すべての製品リリース"
"エンジニアリング変更管理","共通","製品準備完了","","自分のオープンな準備完了チェック","[""mainmenu"",""EngChgProductEngineering"",""Common""]","[""mainmenu"",""EngChgProductEngineering"",""Common"",""ProductReadiness""]","","自分のオープンな準備完了チェック"
"エンジニアリング変更管理","照会およびレポート","","","エンジニアリング変更命令","[""mainmenu"",""EngChgProductEngineering"",""Inquries""]","","","エンジニアリング変更命令"
"エンジニアリング変更管理","照会およびレポート","","","業務への影響","[""mainmenu"",""EngChgProductEngineering"",""Inquries""]","","","業務への影響"
"エンジニアリング変更管理","照会およびレポート","","","送信された製品リリース","[""mainmenu"",""EngChgProductEngineering"",""Inquries""]","","","送信された製品リリース"
"エンジニアリング変更管理","照会およびレポート","","","会社ごとの製品","[""mainmenu"",""EngChgProductEngineering"",""Inquries""]","","","会社ごとの製品"
"エンジニアリング変更管理","照会およびレポート","","","エンジニアリング通知","[""mainmenu"",""EngChgProductEngineering"",""Inquries""]","","","エンジニアリング通知"
"エンジニアリング変更管理","設定","","","エンジニアリング変更管理のパラメーター","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","エンジニアリング変更管理のパラメーター"
"エンジニアリング変更管理","設定","","","エンジニアリング ワークフロー","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","エンジニアリング ワークフロー"
"エンジニアリング変更管理","設定","","","エンジニアリング組織","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","エンジニアリング組織"
"エンジニアリング変更管理","設定","","","エンジニアリング製品カテゴリの詳細","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","エンジニアリング製品カテゴリの詳細"
"エンジニアリング変更管理","設定","","","製品ライフサイクルの状態","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","製品ライフサイクルの状態"
"エンジニアリング変更管理","設定","","","製品バージョン番号ルール","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","製品バージョン番号ルール"
"エンジニアリング変更管理","設定","","","製品所有者","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","製品所有者"
"エンジニアリング変更管理","設定","","","製品リリース ポリシー","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","製品リリース ポリシー"
"エンジニアリング変更管理","設定","","","製品準備完了ポリシー","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","","","製品準備完了ポリシー"
"エンジニアリング変更管理","設定","属性","","属性タイプ","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""Attributes""]","","属性タイプ"
"エンジニアリング変更管理","設定","属性","","エンジニアリング属性","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""Attributes""]","","エンジニアリング属性"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","エンジニアリング変更カテゴリ","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","エンジニアリング変更カテゴリ"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","エンジニアリング変更の優先順位","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","エンジニアリング変更の優先順位"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","エンジニアリング変更理由","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","エンジニアリング変更理由"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","材料廃棄コード","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","材料廃棄コード"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","顧客の承認を受け取りました","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","顧客の承認を受け取りました"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","エンジニアリング変更 - 環境の健康と安全性","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","エンジニアリング変更 - 環境の健康と安全性"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","エンジニアリング変更の重大度","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","エンジニアリング変更の重大度"
"エンジニアリング変更管理","設定","エンジニアリング変更管理","","エンジニアリング変更の重大度ルール セット","[""mainmenu"",""EngChgProductEngineering"",""Setup""]","[""mainmenu"",""EngChgProductEngineering"",""Setup"",""EngChgEcmSetup""]","","エンジニアリング変更の重大度ルール セット"
