Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"サービス管理","サービス注文","","","サービス注文","[""mainmenu"",""ServiceManagement"",""ServiceOrders""]","","","サービス注文"
"サービス管理","サービス注文","","","有効なサービス注文","[""mainmenu"",""ServiceManagement"",""ServiceOrders""]","","","有効なサービス注文"
"サービス管理","サービス注文","","","サービス注文の転記準備完了","[""mainmenu"",""ServiceManagement"",""ServiceOrders""]","","","サービス注文の転記準備完了"
"サービス管理","サービス注文","","","自分のオープンなサービス注文","[""mainmenu"",""ServiceManagement"",""ServiceOrders""]","","","自分のオープンなサービス注文"
"サービス管理","サービス契約","","","サービス契約","[""mainmenu"",""ServiceManagement"",""ServiceAgreements""]","","","サービス契約"
"サービス管理","サービス契約","","","有効なサービス契約","[""mainmenu"",""ServiceManagement"",""ServiceAgreements""]","","","有効なサービス契約"
"サービス管理","サービス契約","","","サービス テンプレート","[""mainmenu"",""ServiceManagement"",""ServiceAgreements""]","","","サービス テンプレート"
"サービス管理","サービス サブスクリプション","","","すべてのサービス サブスクリプション","[""mainmenu"",""ServiceManagement"",""ServiceSubscriptions""]","","","すべてのサービス サブスクリプション"
"サービス管理","サービス サブスクリプション","","","有効なサービス サブスクリプション","[""mainmenu"",""ServiceManagement"",""ServiceSubscriptions""]","","","有効なサービス サブスクリプション"
"サービス管理","照会およびレポート","","","サブスクリプション手数料トランザクションの照会","[""mainmenu"",""ServiceManagement"",""InquiriesAndReports""]","","","サブスクリプション手数料トランザクションの照会"
"サービス管理","照会およびレポート","","","サービス注文利益幅レポート","[""mainmenu"",""ServiceManagement"",""InquiriesAndReports""]","","","サービス注文利益幅レポート"
"サービス管理","照会およびレポート","","","作業の説明レポート","[""mainmenu"",""ServiceManagement"",""InquiriesAndReports""]","","","作業の説明レポート"
"サービス管理","照会およびレポート","","","作業受入レポート","[""mainmenu"",""ServiceManagement"",""InquiriesAndReports""]","","","作業受入レポート"
"サービス管理","照会およびレポート","","","トランザクション - サブスクリプション レポート","[""mainmenu"",""ServiceManagement"",""InquiriesAndReports""]","","","トランザクション - サブスクリプション レポート"
