Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"システム管理","ワークスペース","","","システム管理","[""mainmenu"",""SystemAdministration"",""Workspaces""]","","","システム管理"
"システム管理","ワークスペース","","","データ管理","[""mainmenu"",""SystemAdministration"",""Workspaces""]","","","データ管理"
"システム管理","ワークスペース","","","機能管理","[""mainmenu"",""SystemAdministration"",""Workspaces""]","","","機能管理"
"システム管理","ワークスペース","","","最適化アドバイザー","[""mainmenu"",""SystemAdministration"",""Workspaces""]","","","最適化アドバイザー"
"システム管理","ユーザー","","","ユーザー","[""mainmenu"",""SystemAdministration"",""Users""]","","","ユーザー"
"システム管理","ユーザー","","","オンライン ユーザー","[""mainmenu"",""SystemAdministration"",""Users""]","","","オンライン ユーザー"
"システム管理","ユーザー","","","ユーザー グループ","[""mainmenu"",""SystemAdministration"",""Users""]","","","ユーザー グループ"
"システム管理","ユーザー","","","無効なユーザー","[""mainmenu"",""SystemAdministration"",""Users""]","","","無効なユーザー"
"システム管理","ユーザー","","","ユーザー要求","[""mainmenu"",""SystemAdministration"",""Users""]","","","ユーザー要求"
"システム管理","セキュリティ","","","ユーザーをロールに割り当てる","[""mainmenu"",""SystemAdministration"",""Security""]","","","ユーザーをロールに割り当てる"
"システム管理","セキュリティ","","","セキュリティのコンフィギュレーション","[""mainmenu"",""SystemAdministration"",""Security""]","","","セキュリティのコンフィギュレーション"
"システム管理","セキュリティ","","","タスク記録のセキュリティ診断","[""mainmenu"",""SystemAdministration"",""Security""]","","","タスク記録のセキュリティ診断"
"システム管理","セキュリティ","","","外部ロール","[""mainmenu"",""SystemAdministration"",""Security""]","","","外部ロール"
"システム管理","セキュリティ","","","休止ユーザー セキュリティ アカウント","[""mainmenu"",""SystemAdministration"",""Security""]","","","休止ユーザー セキュリティ アカウント"
"システム管理","セキュリティ","職務分掌","","職務分掌ルール","[""mainmenu"",""SystemAdministration"",""Security""]","[""mainmenu"",""SystemAdministration"",""Security"",""SegregationOfDuties""]","","職務分掌ルール"
"システム管理","セキュリティ","職務分掌","","職務分掌の競合","[""mainmenu"",""SystemAdministration"",""Security""]","[""mainmenu"",""SystemAdministration"",""Security"",""SegregationOfDuties""]","","職務分掌の競合"
"システム管理","セキュリティ","職務分掌","","職務分掌による未解決の競合","[""mainmenu"",""SystemAdministration"",""Security""]","[""mainmenu"",""SystemAdministration"",""Security"",""SegregationOfDuties""]","","職務分掌による未解決の競合"
"システム管理","セキュリティ","職務分掌","","ユーザー ロール割り当ての遵守を確認","[""mainmenu"",""SystemAdministration"",""Security""]","[""mainmenu"",""SystemAdministration"",""Security"",""SegregationOfDuties""]","","ユーザー ロール割り当ての遵守を確認"
"システム管理","ワークフロー","","","ワークフロー パラメーター","[""mainmenu"",""SystemAdministration"",""Workflow""]","","","ワークフロー パラメーター"
"システム管理","ワークフロー","","","ワークフロー インフラストラクチャ コンフィギュレーション","[""mainmenu"",""SystemAdministration"",""Workflow""]","","","ワークフロー インフラストラクチャ コンフィギュレーション"
"システム管理","ワークフロー","","","ユーザー ワークフロー","[""mainmenu"",""SystemAdministration"",""Workflow""]","","","ユーザー ワークフロー"
"システム管理","ワークフロー","","","ユーザー ワークフロー パラメーター","[""mainmenu"",""SystemAdministration"",""Workflow""]","","","ユーザー ワークフロー パラメーター"
"システム管理","ワークフロー","","","すべてのワークフロー構成","[""mainmenu"",""SystemAdministration"",""Workflow""]","","","すべてのワークフロー構成"
"システム管理","照会","","","削除済み添付ファイル","[""mainmenu"",""SystemAdministration"",""Inquiries""]","","","削除済み添付ファイル"
"システム管理","照会","","","ドキュメント履歴","[""mainmenu"",""SystemAdministration"",""Inquiries""]","","","ドキュメント履歴"
"システム管理","照会","データベース","","データベース情報","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DatabaseInquiries""]","","データベース情報"
"システム管理","照会","データベース","","データベース ログ","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DatabaseInquiries""]","","データベース ログ"
"システム管理","照会","データベース","","SQL インデックスの断片化の詳細","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DatabaseInquiries""]","","SQL インデックスの断片化の詳細"
"システム管理","照会","データベース","","バッチ ジョブ","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DatabaseInquiries""]","","バッチ ジョブ"
"システム管理","照会","データ キャッシュ","","タイル データ キャッシュ","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DataCache""]","","タイル データ キャッシュ"
"システム管理","照会","データ キャッシュ","","データ セット キャッシュ","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DataCache""]","","データ セット キャッシュ"
"システム管理","照会","データ キャッシュ","","KPI 詳細データ キャッシュ","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DataCache""]","","KPI 詳細データ キャッシュ"
"システム管理","照会","データ キャッシュ","","ユーザー ログ","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""DataCache""]","","ユーザー ログ"
"システム管理","照会","仮想エンティティ","","仮想エンティティ メタデータ同期の状態","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""VirtualEntity""]","","仮想エンティティ メタデータ同期の状態"
"システム管理","照会","仮想エンティティ","","個人検索レポート","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""VirtualEntity""]","","個人検索レポート"
"システム管理","照会","セキュリティ","","ユーザー ロールの割り当て","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""SecurityReports""]","","ユーザー ロールの割り当て"
"システム管理","照会","セキュリティ","","セキュリティ ロール アクセス","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""SecurityReports""]","","セキュリティ ロール アクセス"
"システム管理","照会","セキュリティ","","ユーザーへのロールの割り当て","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""SecurityReports""]","","ユーザーへのロールの割り当て"
"システム管理","照会","セキュリティ","","セキュリティ職務権限の割り当て","[""mainmenu"",""SystemAdministration"",""Inquiries""]","[""mainmenu"",""SystemAdministration"",""Inquiries"",""SecurityReports""]","","セキュリティ職務権限の割り当て"
"システム管理","設定","","","ライセンス コンフィギュレーション","[""mainmenu"",""SystemAdministration"",""Setup""]","","","ライセンス コンフィギュレーション"
"システム管理","設定","","","サーバー コンフィギュレーション","[""mainmenu"",""SystemAdministration"",""Setup""]","","","サーバー コンフィギュレーション"
"システム管理","設定","","","バッチ グループ","[""mainmenu"",""SystemAdministration"",""Setup""]","","","バッチ グループ"
"システム管理","設定","","","バッチ ジョブの有効期間","[""mainmenu"",""SystemAdministration"",""Setup""]","","","バッチ ジョブの有効期間"
