Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"プロジェクト管理および会計","ワークスペース","","","プロジェクト管理","[""mainmenu"",""ProjectManagementAndAccounting"",""Workspaces""]","","","プロジェクト管理"
"プロジェクト管理および会計","プロジェクト","","","すべてのプロジェクト","[""mainmenu"",""ProjectManagementAndAccounting"",""Projects""]","","","すべてのプロジェクト"
"プロジェクト管理および会計","プロジェクト","","","個人用プロジェクト","[""mainmenu"",""ProjectManagementAndAccounting"",""Projects""]","","","個人用プロジェクト"
"プロジェクト管理および会計","プロジェクト","","","プロジェクト契約","[""mainmenu"",""ProjectManagementAndAccounting"",""Projects""]","","","プロジェクト契約"
"プロジェクト管理および会計","プロジェクト リソース","","","リソース リスト","[""mainmenu"",""ProjectManagementAndAccounting"",""ProjectResources""]","","","リソース リスト"
"プロジェクト管理および会計","プロジェクト リソース","","","リソースの可用性","[""mainmenu"",""ProjectManagementAndAccounting"",""ProjectResources""]","","","リソースの可用性"
"プロジェクト管理および会計","プロジェクト リソース","","","リソースの履行","[""mainmenu"",""ProjectManagementAndAccounting"",""ProjectResources""]","","","リソースの履行"
"プロジェクト管理および会計","プロジェクト リソース","","","リソース要求","[""mainmenu"",""ProjectManagementAndAccounting"",""ProjectResources""]","","","リソース要求"
"プロジェクト管理および会計","品目作業","","","在庫品目要求","[""mainmenu"",""ProjectManagementAndAccounting"",""ItemTasks""]","","","在庫品目要求"
"プロジェクト管理および会計","品目作業","","","プロジェクト購買要求","[""mainmenu"",""ProjectManagementAndAccounting"",""ItemTasks""]","","","プロジェクト購買要求"
"プロジェクト管理および会計","品目作業","","","プロジェクト発注書","[""mainmenu"",""ProjectManagementAndAccounting"",""ItemTasks""]","","","プロジェクト発注書"
"プロジェクト管理および会計","品目作業","","","プロジェクト販売注文","[""mainmenu"",""ProjectManagementAndAccounting"",""ItemTasks""]","","","プロジェクト販売注文"
"プロジェクト管理および会計","品目作業","","","プロジェクト見積依頼","[""mainmenu"",""ProjectManagementAndAccounting"",""ItemTasks""]","","","プロジェクト見積依頼"
"プロジェクト管理および会計","品目作業","","","プロジェクト製造オーダー","[""mainmenu"",""ProjectManagementAndAccounting"",""ItemTasks""]","","","プロジェクト製造オーダー"
"プロジェクト管理および会計","タイムシート","","","すべてのタイムシート","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","すべてのタイムシート"
"プロジェクト管理および会計","タイムシート","","","自分のタイムシート","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","自分のタイムシート"
"プロジェクト管理および会計","タイムシート","","","タイムシート (モバイルに最適化)","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","タイムシート (モバイルに最適化)"
"プロジェクト管理および会計","タイムシート","","","自分の確認用のタイムシート","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","自分の確認用のタイムシート"
"プロジェクト管理および会計","タイムシート","","","確認用タイムシート (モバイルに最適化)","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","確認用タイムシート (モバイルに最適化)"
"プロジェクト管理および会計","タイムシート","","","未転記のタイムシート","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","未転記のタイムシート"
"プロジェクト管理および会計","タイムシート","","","削除されたタイムシート履歴","[""mainmenu"",""ProjectManagementAndAccounting"",""Timesheets""]","","","削除されたタイムシート履歴"
"プロジェクト管理および会計","トランザクション","","","保留中のプロジェクト トランザクション","[""mainmenu"",""ProjectManagementAndAccounting"",""Transactions""]","","","保留中のプロジェクト トランザクション"
"プロジェクト管理および会計","トランザクション","","","保留中の個人用プロジェクト トランザクション","[""mainmenu"",""ProjectManagementAndAccounting"",""Transactions""]","","","保留中の個人用プロジェクト トランザクション"
"プロジェクト管理および会計","トランザクション","","","転記されたプロジェクト トランザクション","[""mainmenu"",""ProjectManagementAndAccounting"",""Transactions""]","","","転記されたプロジェクト トランザクション"
"プロジェクト管理および会計","トランザクション","","","転記された個人用プロジェクト トランザクション","[""mainmenu"",""ProjectManagementAndAccounting"",""Transactions""]","","","転記された個人用プロジェクト トランザクション"
"プロジェクト管理および会計","トランザクション","","","すべてのプロジェクト予測","[""mainmenu"",""ProjectManagementAndAccounting"",""Transactions""]","","","すべてのプロジェクト予測"
"プロジェクト管理および会計","プロジェクト請求書","","","プロジェクトの仮発行請求書","[""mainmenu"",""ProjectManagementAndAccounting"",""Invoice""]","","","プロジェクトの仮発行請求書"
"プロジェクト管理および会計","プロジェクト請求書","","","プロジェクト請求書","[""mainmenu"",""ProjectManagementAndAccounting"",""Invoice""]","","","プロジェクト請求書"
"プロジェクト管理および会計","プロジェクト請求書","","","会社間顧客請求書","[""mainmenu"",""ProjectManagementAndAccounting"",""Invoice""]","","","会社間顧客請求書"
"プロジェクト管理および会計","見積","","","プロジェクト見積","[""mainmenu"",""ProjectManagementAndAccounting"",""Quotations""]","","","プロジェクト見積"
"プロジェクト管理および会計","見積","","","自分のプロジェクト見積","[""mainmenu"",""ProjectManagementAndAccounting"",""Quotations""]","","","自分のプロジェクト見積"
"プロジェクト管理および会計","見積","","","期限が切れるプロジェクト見積","[""mainmenu"",""ProjectManagementAndAccounting"",""Quotations""]","","","期限が切れるプロジェクト見積"
"プロジェクト管理および会計","見積","","","期限が切れる自分のプロジェクト見積","[""mainmenu"",""ProjectManagementAndAccounting"",""Quotations""]","","","期限が切れる自分のプロジェクト見積"
"プロジェクト管理および会計","許可","","","許可","[""mainmenu"",""ProjectManagementAndAccounting"",""Grants""]","","","許可"
