Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"マスタープラン","ワークスペース","","","マスター プラン","[""mainmenu"",""MasterPlanning"",""Workspaces""]","","","マスター プラン"
"マスタープラン","ワークスペース","","","需要主導型 MRP","[""mainmenu"",""MasterPlanning"",""Workspaces""]","","","需要主導型 MRP"
"マスタープラン","マスター プラン","","","計画オーダー","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","","","計画オーダー"
"マスタープラン","マスター プラン","","","簡易計画オーダー","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","","","簡易計画オーダー"
"マスタープラン","マスター プラン","","","計算済遅延","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","","","計算済遅延"
"マスタープラン","マスター プラン","アクション","","アクション","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Actions""]","","アクション"
"マスタープラン","マスター プラン","アクション","","発注書に対するアクション","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Actions""]","","発注書に対するアクション"
"マスタープラン","マスター プラン","アクション","","繰り上げ処理する発注書に対するアクション","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Actions""]","","繰り上げ処理する発注書に対するアクション"
"マスタープラン","マスター プラン","アクション","","供給スケジュール","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Actions""]","","供給スケジュール"
"マスタープラン","マスター プラン","アクション","","順序付き計画オーダー","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Actions""]","","順序付き計画オーダー"
"マスタープラン","マスター プラン","実行","","マスター プラン","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","マスター プラン"
"マスタープラン","マスター プラン","実行","","会社間マスター プラン","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","会社間マスター プラン"
"マスタープラン","マスター プラン","実行","","計画オーダーの確定","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","計画オーダーの確定"
"マスタープラン","マスター プラン","実行","","安全在庫の計算","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","安全在庫の計算"
"マスタープラン","マスター プラン","実行","","かんばん数量の計算","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","かんばん数量の計算"
"マスタープラン","マスター プラン","実行","","優先順位生成","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","優先順位生成"
"マスタープラン","マスター プラン","実行","","連続スケジュール","[""mainmenu"",""MasterPlanning"",""MasterPlanning""]","[""mainmenu"",""MasterPlanning"",""MasterPlanning"",""Run""]","","連続スケジュール"
