Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"リベート管理","リベート管理取引","","","すべてのリベート管理取引","[""mainmenu"",""TAMRebate"",""RebateDeal""]","","","すべてのリベート管理取引"
"リベート管理","リベート管理取引","","","顧客リベート取引","[""mainmenu"",""TAMRebate"",""RebateDeal""]","","","顧客リベート取引"
"リベート管理","リベート管理取引","","","顧客ロイヤルティ取引","[""mainmenu"",""TAMRebate"",""RebateDeal""]","","","顧客ロイヤルティ取引"
"リベート管理","リベート管理取引","","","仕入先リベート取引","[""mainmenu"",""TAMRebate"",""RebateDeal""]","","","仕入先リベート取引"
"リベート管理","リベート管理取引","","","リベート ワークベンチ","[""mainmenu"",""TAMRebate"",""RebateDeal""]","","","リベート ワークベンチ"
"リベート管理","定期処理のタスク","","","FIFO 購買価格の計算","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","","","FIFO 購買価格の計算"
"リベート管理","定期処理のタスク","処理","","準備額","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Process""]","","準備額"
"リベート管理","定期処理のタスク","処理","","リベート管理","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Process""]","","リベート管理"
"リベート管理","定期処理のタスク","処理","","損金処理","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Process""]","","損金処理"
"リベート管理","定期処理のタスク","転記","","準備額","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Post""]","","準備額"
"リベート管理","定期処理のタスク","転記","","リベート管理","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Post""]","","リベート管理"
"リベート管理","定期処理のタスク","転記","","損金処理","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Post""]","","損金処理"
"リベート管理","定期処理のタスク","キャンセル","","準備額のキャンセル","[""mainmenu"",""TAMRebate"",""PeriodicTasks""]","[""mainmenu"",""TAMRebate"",""PeriodicTasks"",""Cancel""]","","準備額のキャンセル"
"リベート管理","照会およびレポート","","","明細書","[""mainmenu"",""TAMRebate"",""InquiriesAndReports""]","","","明細書"
"リベート管理","照会およびレポート","","","トランザクション","[""mainmenu"",""TAMRebate"",""InquiriesAndReports""]","","","トランザクション"
"リベート管理","設定","","","リベート管理パラメーター","[""mainmenu"",""TAMRebate"",""Setup""]","","","リベート管理パラメーター"
"リベート管理","設定","","","リベート管理ワークフロー","[""mainmenu"",""TAMRebate"",""Setup""]","","","リベート管理ワークフロー"
"リベート管理","設定","","","リベート控除原則","[""mainmenu"",""TAMRebate"",""Setup""]","","","リベート控除原則"
"リベート管理","設定","状態","","状態","[""mainmenu"",""TAMRebate"",""Setup""]","[""mainmenu"",""TAMRebate"",""Setup"",""Status""]","","状態"
"リベート管理","リベート管理グループの設定","","","顧客グループ","[""mainmenu"",""TAMRebate"",""GroupsSetup""]","","","顧客グループ"
"リベート管理","リベート管理グループの設定","","","品目グループ","[""mainmenu"",""TAMRebate"",""GroupsSetup""]","","","品目グループ"
"リベート管理","リベート管理グループの設定","","","仕入先グループ","[""mainmenu"",""TAMRebate"",""GroupsSetup""]","","","仕入先グループ"
"リベート管理","リベート管理転記設定","","","リベート管理転記プロファイル","[""mainmenu"",""TAMRebate"",""PostingSetup""]","","","リベート管理転記プロファイル"
