Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"一般会計","ワークスペース","","","会計調整","[""mainmenu"",""GeneralLedger"",""Workspaces""]","","","会計調整"
"一般会計","ワークスペース","","","一般仕訳帳の処理","[""mainmenu"",""GeneralLedger"",""Workspaces""]","","","一般仕訳帳の処理"
"一般会計","ワークスペース","","","財務期間終了","[""mainmenu"",""GeneralLedger"",""Workspaces""]","","","財務期間終了"
"一般会計","ワークスペース","","","財務分析 - すべての会社","[""mainmenu"",""GeneralLedger"",""Workspaces""]","","","財務分析 - すべての会社"
"一般会計","ワークスペース","","","財務分析 - 現在の会社","[""mainmenu"",""GeneralLedger"",""Workspaces""]","","","財務分析 - 現在の会社"
"一般会計","仕訳入力","","","一般仕訳帳","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","一般仕訳帳"
"一般会計","仕訳入力","","","グローバル一般仕訳帳","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","グローバル一般仕訳帳"
"一般会計","仕訳入力","","","仕訳帳の転記","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","仕訳帳の転記"
"一般会計","仕訳入力","","","定期処理仕訳帳","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","定期処理仕訳帳"
"一般会計","仕訳入力","","","配賦仕訳帳","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","配賦仕訳帳"
"一般会計","仕訳入力","","","レポート通貨の調整仕訳帳","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","レポート通貨の調整仕訳帳"
"一般会計","仕訳入力","","","詳細な元帳エントリ","[""mainmenu"",""GeneralLedger"",""JournalEntries""]","","","詳細な元帳エントリ"
"一般会計","照会およびレポート","","","試算表","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","試算表"
"一般会計","照会およびレポート","","","会計ソース エクスプローラー","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","会計ソース エクスプローラー"
"一般会計","照会およびレポート","","","伝票トランザクション","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","伝票トランザクション"
"一般会計","照会およびレポート","","","未払債務","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","未払債務"
"一般会計","照会およびレポート","","","伝票トランザクション履歴","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","伝票トランザクション履歴"
"一般会計","照会およびレポート","","","監査証跡","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","監査証跡"
"一般会計","照会およびレポート","","","財務諸表","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","","","財務諸表"
"一般会計","照会およびレポート","元帳レポート","","分析コード明細書","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","分析コード明細書"
"一般会計","照会およびレポート","元帳レポート","","元帳トランザクション リスト","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","元帳トランザクション リスト"
"一般会計","照会およびレポート","元帳レポート","","仕訳帳の印刷","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","仕訳帳の印刷"
"一般会計","照会およびレポート","元帳レポート","","仕訳帳別転記済トランザクション","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","仕訳帳別転記済トランザクション"
"一般会計","照会およびレポート","元帳レポート","","日付別トランザクション リスト","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","日付別トランザクション リスト"
"一般会計","照会およびレポート","元帳レポート","","トランザクション発生元","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","トランザクション発生元"
"一般会計","照会およびレポート","元帳レポート","","債務","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","債務"
"一般会計","照会およびレポート","元帳レポート","","転記された詳細な元帳エントリ トランザクション","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","転記された詳細な元帳エントリ トランザクション"
"一般会計","照会およびレポート","元帳レポート","","主勘定別の一般会計明細書","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","主勘定別の一般会計明細書"
"一般会計","照会およびレポート","元帳レポート","","会計登録者のアカウンタビリティのステートメント","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""LedgerReports""]","","会計登録者のアカウンタビリティのステートメント"
"一般会計","照会およびレポート","期間終了レポート","","決算トランザクション レポート","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""PeriodEndReports""]","","決算トランザクション レポート"
"一般会計","照会およびレポート","期間終了レポート","","未転記の一般仕訳入力","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""PeriodEndReports""]","","未転記の一般仕訳入力"
"一般会計","照会およびレポート","期間終了レポート","","配賦ルールの定義","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""PeriodEndReports""]","","配賦ルールの定義"
"一般会計","照会およびレポート","連結レポート","","連結トランザクション","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""ConsolidationReports""]","","連結トランザクション"
"一般会計","照会およびレポート","連結レポート","","消去ルールの定義","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""ConsolidationReports""]","","消去ルールの定義"
"一般会計","照会およびレポート","税の標準監査ファイル (SAF-T)","","税の標準監査ファイル (SAF-T)","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""SAFT_W""]","","税の標準監査ファイル (SAF-T)"
"一般会計","照会およびレポート","税の標準監査ファイル (SAF-T)","","トランザクション詳細付きの試算表","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""SAFT_W""]","","トランザクション詳細付きの試算表"
"一般会計","照会およびレポート","税の標準監査ファイル (SAF-T)","","元帳決済の照会","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""SAFT_W""]","","元帳決済の照会"
"一般会計","照会およびレポート","税の標準監査ファイル (SAF-T)","","財務分析コード別の未払債務","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""SAFT_W""]","","財務分析コード別の未払債務"
"一般会計","照会およびレポート","税の標準監査ファイル (SAF-T)","","現金持高","[""mainmenu"",""GeneralLedger"",""InquiriesReports""]","[""mainmenu"",""GeneralLedger"",""InquiriesReports"",""SAFT_W""]","","現金持高"
"一般会計","定期処理のタスク","","","元帳決済","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","元帳決済"
"一般会計","定期処理のタスク","","","不均衡な元帳決済","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","不均衡な元帳決済"
"一般会計","定期処理のタスク","","","未決済トランザクション レポート","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","未決済トランザクション レポート"
"一般会計","定期処理のタスク","","","定期処理仕訳帳","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","定期処理仕訳帳"
"一般会計","定期処理のタスク","","","外貨再評価","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","外貨再評価"
"一般会計","定期処理のタスク","","","仕訳","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","仕訳"
"一般会計","定期処理のタスク","","","仕訳された仕訳帳","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","仕訳された仕訳帳"
"一般会計","定期処理のタスク","","","未転送の補助元帳仕訳","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","未転送の補助元帳仕訳"
"一般会計","定期処理のタスク","","","補助元帳仕訳のバッチ転送","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","補助元帳仕訳のバッチ転送"
"一般会計","定期処理のタスク","","","勘定が保留になっているドキュメント","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","勘定が保留になっているドキュメント"
"一般会計","定期処理のタスク","","","期間残高の再計算","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","期間残高の再計算"
"一般会計","定期処理のタスク","","","すべての財務分析階層のフィルター結果を更新","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","すべての財務分析階層のフィルター結果を更新"
"一般会計","定期処理のタスク","","","仕訳元帳のクリーンアップ","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","仕訳元帳のクリーンアップ"
"一般会計","定期処理のタスク","","","伝票の編集の監査証跡","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","伝票の編集の監査証跡"
"一般会計","定期処理のタスク","","","データのエクスポート","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","データのエクスポート"
"一般会計","定期処理のタスク","","","一般会計の調整","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","一般会計の調整"
"一般会計","定期処理のタスク","","","未転記の仕訳帳のワークフロー承認状態をリセット","[""mainmenu"",""GeneralLedger"",""PeriodicTasks""]","","","未転記の仕訳帳のワークフロー承認状態をリセット"
"一般会計","配賦","","","配賦仕訳帳","[""mainmenu"",""GeneralLedger"",""Allocations""]","","","配賦仕訳帳"
"一般会計","配賦","","","配賦要求の処理","[""mainmenu"",""GeneralLedger"",""Allocations""]","","","配賦要求の処理"
"一般会計","配賦","","","元帳配賦ルール","[""mainmenu"",""GeneralLedger"",""Allocations""]","","","元帳配賦ルール"
"一般会計","配賦","","","元帳配賦基準","[""mainmenu"",""GeneralLedger"",""Allocations""]","","","元帳配賦基準"
"一般会計","配賦","","","配賦ルールの定義レポート","[""mainmenu"",""GeneralLedger"",""Allocations""]","","","配賦ルールの定義レポート"
"一般会計","決算期間","","","財務期間終了ワークスペース","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","財務期間終了ワークスペース"
"一般会計","決算期間","","","すべての財務期間終了タスク","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","すべての財務期間終了タスク"
"一般会計","決算期間","","","財務期間終了コンフィギュレーション","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","財務期間終了コンフィギュレーション"
"一般会計","決算期間","","","発注書の年末処理","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","発注書の年末処理"
"一般会計","決算期間","","","一般予算引当期末処理","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","一般予算引当期末処理"
"一般会計","決算期間","","","決算期間調整","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","決算期間調整"
"一般会計","決算期間","","","年度末決算","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","年度末決算"
"一般会計","決算期間","","","元帳カレンダー","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","元帳カレンダー"
"一般会計","決算期間","","","会計カレンダー","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","会計カレンダー"
"一般会計","決算期間","","","確約の決算","[""mainmenu"",""GeneralLedger"",""PeriodClose""]","","","確約の決算"
