Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"休暇","休暇の管理","","","休暇計画の見越計上","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇計画の見越計上"
"休暇","休暇の管理","","","休暇と欠席の見越計上を削除する","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇と欠席の見越計上を削除する"
"休暇","休暇の管理","","","休暇の見越計上の監査","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇の見越計上の監査"
"休暇","休暇の管理","","","休暇申請","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇申請"
"休暇","休暇の管理","","","休暇申請","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇申請"
"休暇","休暇の管理","","","休暇売買申請","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇売買申請"
"休暇","休暇の管理","","","休暇会社カレンダー","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇会社カレンダー"
"休暇","休暇の管理","","","休暇見越計上の中断","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","休暇見越計上の中断"
"休暇","休暇の管理","","","FMLA ケース","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","FMLA ケース"
"休暇","休暇の管理","","","FMLA 休暇取得レポート","[""mainmenu"",""LeaveAndAbsenceMenu"",""ManageLeave""]","","","FMLA 休暇取得レポート"
"休暇","登録","","","従業員","[""mainmenu"",""LeaveAndAbsenceMenu"",""Enrollment""]","","","従業員"
"休暇","登録","","","契約社員","[""mainmenu"",""LeaveAndAbsenceMenu"",""Enrollment""]","","","契約社員"
"休暇","設定","","","休暇計画","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","","","休暇計画"
"休暇","設定","","","休暇のタイプ","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","","","休暇のタイプ"
"休暇","設定","","","休暇パラメーター","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","","","休暇パラメーター"
"休暇","設定","","","人事管理パラメーター","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","","","人事管理パラメーター"
"休暇","設定","","","人事管理ワークフロー","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","","","人事管理ワークフロー"
"休暇","設定","","","休暇売買ポリシー","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","","","休暇売買ポリシー"
"休暇","設定","カレンダー","","カレンダー","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup"",""Calendars""]","","カレンダー"
"休暇","設定","カレンダー","","休日および休業日","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup"",""Calendars""]","","休日および休業日"
"休暇","設定","カレンダー","","非作業時間","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup""]","[""mainmenu"",""LeaveAndAbsenceMenu"",""Setup"",""Calendars""]","","非作業時間"
