Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"給与","ワークスペース","","","給与管理","[""mainmenu"",""Payroll"",""Workspaces""]","","","給与管理"
"給与","ワークスペース","","","給与の業務プロセス","[""mainmenu"",""Payroll"",""Workspaces""]","","","給与の業務プロセス"
"給与","作業者","","","従業員","[""mainmenu"",""Payroll"",""Workers""]","","","従業員"
"給与","作業者","","","契約社員","[""mainmenu"",""Payroll"",""Workers""]","","","契約社員"
"給与","作業者","","","過去の作業者","[""mainmenu"",""Payroll"",""Workers""]","","","過去の作業者"
"給与","作業者","","","保留中の作業者","[""mainmenu"",""Payroll"",""Workers""]","","","保留中の作業者"
"給与","作業者","","","作業者","[""mainmenu"",""Payroll"",""Workers""]","","","作業者"
"給与","職位","","","すべての職位","[""mainmenu"",""Payroll"",""Positions""]","","","すべての職位"
"給与","職位","","","空いている職位","[""mainmenu"",""Payroll"",""Positions""]","","","空いている職位"
"給与","職位","","","職務","[""mainmenu"",""Payroll"",""Positions""]","","","職務"
"給与","所得明細書","","","すべての所得明細書","[""mainmenu"",""Payroll"",""EarningsStatements""]","","","すべての所得明細書"
"給与","所得明細書","","","リリース済みの所得明細書","[""mainmenu"",""Payroll"",""EarningsStatements""]","","","リリース済みの所得明細書"
"給与","所得明細書","","","処理済みの所得明細書","[""mainmenu"",""Payroll"",""EarningsStatements""]","","","処理済みの所得明細書"
"給与","所得明細書","","","保留中の所得明細書","[""mainmenu"",""Payroll"",""EarningsStatements""]","","","保留中の所得明細書"
"給与","所得明細書","","","未処理の所得明細書","[""mainmenu"",""Payroll"",""EarningsStatements""]","","","未処理の所得明細書"
"給与","支払明細書","","","すべての支払明細書","[""mainmenu"",""Payroll"",""PayrollPayStatements""]","","","すべての支払明細書"
"給与","支払明細書","","","計算済みの支払明細書","[""mainmenu"",""Payroll"",""PayrollPayStatements""]","","","計算済みの支払明細書"
"給与","支払明細書","","","再計算する支払明細書","[""mainmenu"",""Payroll"",""PayrollPayStatements""]","","","再計算する支払明細書"
"給与","支払明細書","","","送信済みの支払明細書","[""mainmenu"",""Payroll"",""PayrollPayStatements""]","","","送信済みの支払明細書"
"給与","支払明細書","","","発行済みの支払明細書","[""mainmenu"",""Payroll"",""PayrollPayStatements""]","","","発行済みの支払明細書"
"給与","所得明細書の処理","","","所得の生成","[""mainmenu"",""Payroll"",""EarningProcessing""]","","","所得の生成"
"給与","所得明細書の処理","","","割増所得の生成","[""mainmenu"",""Payroll"",""EarningProcessing""]","","","割増所得の生成"
"給与","所得明細書の処理","","","所得明細書のリリース","[""mainmenu"",""Payroll"",""EarningProcessing""]","","","所得明細書のリリース"
