Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"共通","共通","","","グローバル アドレス帳","[""mainmenu"",""CommonMenu"",""Common""]","","","グローバル アドレス帳"
"共通","共通","","","既定のダッシュボード","[""mainmenu"",""CommonMenu"",""Common""]","","","既定のダッシュボード"
"共通","共通","","","セッション日時","[""mainmenu"",""CommonMenu"",""Common""]","","","セッション日時"
"共通","共通","","","すべての KPI","[""mainmenu"",""CommonMenu"",""Common""]","","","すべての KPI"
"共通","共通","作業項目","","自分自身に割り当てられた作業項目","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""WorkItems""]","","自分自身に割り当てられた作業項目"
"共通","共通","作業項目","","管理しているキューに割り当てられた作業項目","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""WorkItems""]","","管理しているキューに割り当てられた作業項目"
"共通","共通","作業項目","","自分のキューに割り当てられた作業項目","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""WorkItems""]","","自分のキューに割り当てられた作業項目"
"共通","共通","ケース","","すべてのケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","すべてのケース"
"共通","共通","ケース","","自分のケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","自分のケース"
"共通","共通","ケース","","自分のオープンなケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","自分のオープンなケース"
"共通","共通","ケース","","オープンなケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","オープンなケース"
"共通","共通","ケース","","自分の期限を過ぎたケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","自分の期限を過ぎたケース"
"共通","共通","ケース","","ワークフローを使用して自分に割り当てられたケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","ワークフローを使用して自分に割り当てられたケース"
"共通","共通","ケース","","自分のキューに割り当てられたケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Cases""]","","自分のキューに割り当てられたケース"
"共通","共通","CAPA 管理","","すべての CAPA ケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""CAPAManagement""]","","すべての CAPA ケース"
"共通","共通","CAPA 管理","","自分の CAPA ケース","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""CAPAManagement""]","","自分の CAPA ケース"
"共通","共通","活動","","すべての活動","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Activities""]","","すべての活動"
"共通","共通","活動","","個人用活動","[""mainmenu"",""CommonMenu"",""Common""]","[""mainmenu"",""CommonMenu"",""Common"",""Activities""]","","個人用活動"
