Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"経費管理","ワークスペース","","","経費管理","[""mainmenu"",""TravelAndExpense"",""Workspaces""]","","","経費管理"
"経費管理","自分の経費","","","経費精算書","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","経費精算書"
"経費管理","自分の経費","","","現金前貸し","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","現金前貸し"
"経費管理","自分の経費","","","経費","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","経費"
"経費管理","自分の経費","","","照合した経費","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","照合した経費"
"経費管理","自分の経費","","","未添付の領収書","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","未添付の領収書"
"経費管理","自分の経費","","","経費入力の委任","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","経費入力の委任"
"経費管理","自分の経費","","","出張費要求","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","出張費要求"
"経費管理","自分の経費","","","自分自身に経費を委任済","[""mainmenu"",""TravelAndExpense"",""MyExpenses""]","","","自分自身に経費を委任済"
"経費管理","経費精算書の処理","","","すべての経費精算書","[""mainmenu"",""TravelAndExpense"",""ExpenseReports""]","","","すべての経費精算書"
"経費管理","経費精算書の処理","","","承認された経費精算書","[""mainmenu"",""TravelAndExpense"",""ExpenseReports""]","","","承認された経費精算書"
"経費管理","経費精算書の処理","","","経費精算書の確認中","[""mainmenu"",""TravelAndExpense"",""ExpenseReports""]","","","経費精算書の確認中"
"経費管理","経費精算書の処理","","","自分に割り当てられた経費計算書","[""mainmenu"",""TravelAndExpense"",""ExpenseReports""]","","","自分に割り当てられた経費計算書"
"経費管理","経費精算書の処理","","","自分のキューに割り当てられた経費計算書","[""mainmenu"",""TravelAndExpense"",""ExpenseReports""]","","","自分のキューに割り当てられた経費計算書"
"経費管理","現金前貸しの処理","","","承認済かつ支払済の現金前貸し","[""mainmenu"",""TravelAndExpense"",""CashAdvances""]","","","承認済かつ支払済の現金前貸し"
"経費管理","現金前貸しの処理","","","承認された現金前貸し","[""mainmenu"",""TravelAndExpense"",""CashAdvances""]","","","承認された現金前貸し"
"経費管理","現金前貸しの処理","","","自分の確認用の現金前貸し","[""mainmenu"",""TravelAndExpense"",""CashAdvances""]","","","自分の確認用の現金前貸し"
"経費管理","過誤納税の還付の処理","","","過誤納税の還付対象経費","[""mainmenu"",""TravelAndExpense"",""TaxRecovery""]","","","過誤納税の還付対象経費"
"経費管理","照会およびレポート","","","個人経費精算書","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","個人経費精算書"
"経費管理","照会およびレポート","","","修正日付き経費レポート","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","修正日付き経費レポート"
"経費管理","照会およびレポート","","","転記済トランザクション","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","転記済トランザクション"
"経費管理","照会およびレポート","","","過誤納税の還付付き経費","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","過誤納税の還付付き経費"
"経費管理","照会およびレポート","","","従業員ごとの経費タイプ","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","従業員ごとの経費タイプ"
"経費管理","照会およびレポート","","","原価グループの統計","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","原価グループの統計"
"経費管理","照会およびレポート","","","従業員あたりのマイレージ","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","従業員あたりのマイレージ"
"経費管理","照会およびレポート","","","従業員あたりの日当","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","従業員あたりの日当"
"経費管理","照会およびレポート","","","仕入先エイジング レポート","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","仕入先エイジング レポート"
"経費管理","照会およびレポート","","","出張費要求の概要","[""mainmenu"",""TravelAndExpense"",""Reports""]","","","出張費要求の概要"
"経費管理","定期処理のタスク","","","クレジット カード トランザクション","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","クレジット カード トランザクション"
"経費管理","定期処理のタスク","","","クレジット カード トランザクションの削除","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","クレジット カード トランザクションの削除"
"経費管理","定期処理のタスク","","","未添付の経費アラーム","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","未添付の経費アラーム"
"経費管理","定期処理のタスク","","","未送信の経費精算書アラーム","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","未送信の経費精算書アラーム"
"経費管理","定期処理のタスク","","","従業員用の領収書のインポート","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","従業員用の領収書のインポート"
"経費管理","定期処理のタスク","","","経費精算書用の領収書のインポート","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","経費精算書用の領収書のインポート"
"経費管理","定期処理のタスク","","","経費の支払情報の更新","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","経費の支払情報の更新"
"経費管理","定期処理のタスク","","","経費ドキュメントの状態をリセット","[""mainmenu"",""TravelAndExpense"",""Periodic""]","","","経費ドキュメントの状態をリセット"
"経費管理","設定","全般","","経費管理パラメーター","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","経費管理パラメーター"
"経費管理","設定","全般","","経費管理ワークフロー","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","経費管理ワークフロー"
"経費管理","設定","全般","","共有カテゴリ","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","共有カテゴリ"
"経費管理","設定","全般","","経費カテゴリ","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","経費カテゴリ"
"経費管理","設定","全般","","委任","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","委任"
"経費管理","設定","全般","","経費精算書のフィールド","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","経費精算書のフィールド"
"経費管理","設定","全般","","経費フィールドの表示 (経費レポートの再設計)","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","経費フィールドの表示 (経費レポートの再設計)"
"経費管理","設定","全般","","支払方法","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","支払方法"
"経費管理","設定","全般","","税コンフィギュレーション","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","税コンフィギュレーション"
"経費管理","設定","全般","","現金前貸勘定","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""General""]","","現金前貸勘定"
"経費管理","設定","計算とコード","","日当","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""CalculationsAndCodes""]","","日当"
"経費管理","設定","計算とコード","","日当の場所","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""CalculationsAndCodes""]","","日当の場所"
"経費管理","設定","計算とコード","","クレジット カードのタイプ","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""CalculationsAndCodes""]","","クレジット カードのタイプ"
"経費管理","設定","計算とコード","","クレジット カード カテゴリ コード","[""mainmenu"",""TravelAndExpense"",""Setup""]","[""mainmenu"",""TravelAndExpense"",""Setup"",""CalculationsAndCodes""]","","クレジット カード カテゴリ コード"
