Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"原価会計","ワークスペース","","","原価管理","[""mainmenu"",""CAMCostAccounting"",""Workspaces""]","","","原価管理"
"原価会計","ワークスペース","","","原価会計元帳の管理","[""mainmenu"",""CAMCostAccounting"",""Workspaces""]","","","原価会計元帳の管理"
"原価会計","設定","","","開始する","[""mainmenu"",""CAMCostAccounting"",""CostAccountingSetup""]","","","開始する"
"原価会計","設定","","","パラメーター","[""mainmenu"",""CAMCostAccounting"",""CostAccountingSetup""]","","","パラメーター"
"原価会計","設定","","","統計測定プロバイダー テンプレート","[""mainmenu"",""CAMCostAccounting"",""CostAccountingSetup""]","","","統計測定プロバイダー テンプレート"
"原価会計","設定","","","原価管理ワークスペースのコンフィギュレーション","[""mainmenu"",""CAMCostAccounting"",""CostAccountingSetup""]","","","原価管理ワークスペースのコンフィギュレーション"
"原価会計","設定","","","データ コネクタ システム インスタンス","[""mainmenu"",""CAMCostAccounting"",""CostAccountingSetup""]","","","データ コネクタ システム インスタンス"
"原価会計","元帳の設定","","","原価会計元帳","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup""]","","","原価会計元帳"
"原価会計","元帳の設定","","","会計カレンダー","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup""]","","","会計カレンダー"
"原価会計","元帳の設定","通貨","","通貨","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup""]","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup"",""Currencies""]","","通貨"
"原価会計","元帳の設定","通貨","","為替レート タイプ","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup""]","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup"",""Currencies""]","","為替レート タイプ"
"原価会計","元帳の設定","通貨","","通貨の為替レート","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup""]","[""mainmenu"",""CAMCostAccounting"",""LedgerSetup"",""Currencies""]","","通貨の為替レート"
"原価会計","分析コード","","","原価要素分析コード","[""mainmenu"",""CAMCostAccounting"",""Dimensions""]","","","原価要素分析コード"
"原価会計","分析コード","","","原価オブジェクト分析コード","[""mainmenu"",""CAMCostAccounting"",""Dimensions""]","","","原価オブジェクト分析コード"
"原価会計","分析コード","","","統計分析コード","[""mainmenu"",""CAMCostAccounting"",""Dimensions""]","","","統計分析コード"
"原価会計","分析コード","","","分析コード階層","[""mainmenu"",""CAMCostAccounting"",""Dimensions""]","","","分析コード階層"
"原価会計","配賦基準","","","事前定義した分析コード メンバー配賦基準","[""mainmenu"",""CAMCostAccounting"",""AllocationBases""]","","","事前定義した分析コード メンバー配賦基準"
"原価会計","配賦基準","","","式の配賦基準","[""mainmenu"",""CAMCostAccounting"",""AllocationBases""]","","","式の配賦基準"
"原価会計","配賦基準","","","階層配賦基準","[""mainmenu"",""CAMCostAccounting"",""AllocationBases""]","","","階層配賦基準"
"原価会計","ポリシー","","","原価動作ポリシー","[""mainmenu"",""CAMCostAccounting"",""Policies""]","","","原価動作ポリシー"
"原価会計","ポリシー","","","原価配分ポリシー","[""mainmenu"",""CAMCostAccounting"",""Policies""]","","","原価配分ポリシー"
"原価会計","ポリシー","","","原価ロールアップ ポリシー","[""mainmenu"",""CAMCostAccounting"",""Policies""]","","","原価ロールアップ ポリシー"
"原価会計","ポリシー","","","原価配賦ポリシー","[""mainmenu"",""CAMCostAccounting"",""Policies""]","","","原価配賦ポリシー"
"原価会計","ポリシー","","","間接費率ポリシー","[""mainmenu"",""CAMCostAccounting"",""Policies""]","","","間接費率ポリシー"
"原価会計","照会およびレポート","","","仕訳","[""mainmenu"",""CAMCostAccounting"",""InquiriesAndReports""]","","","仕訳"
"原価会計","照会およびレポート","","","原価エントリ","[""mainmenu"",""CAMCostAccounting"",""InquiriesAndReports""]","","","原価エントリ"
"原価会計","照会およびレポート","","","統計エントリ","[""mainmenu"",""CAMCostAccounting"",""InquiriesAndReports""]","","","統計エントリ"
"原価会計","照会およびレポート","","","データ コネクタのデータ転送","[""mainmenu"",""CAMCostAccounting"",""InquiriesAndReports""]","","","データ コネクタのデータ転送"
