Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"在庫管理","ワークスペース","","","CAPA 管理","[""mainmenu"",""InventoryManagement"",""Workspaces""]","","","CAPA 管理"
"在庫管理","ワークスペース","","","機器の調整処理","[""mainmenu"",""InventoryManagement"",""Workspaces""]","","","機器の調整処理"
"在庫管理","ワークスペース","","","品質指示の処理と照会","[""mainmenu"",""InventoryManagement"",""Workspaces""]","","","品質指示の処理と照会"
"在庫管理","入庫指示","","","着荷の概要","[""mainmenu"",""InventoryManagement"",""InboundOrders""]","","","着荷の概要"
"在庫管理","入庫指示","","","計画移動","[""mainmenu"",""InventoryManagement"",""InboundOrders""]","","","計画移動"
"在庫管理","入庫指示","","","移動オーダー","[""mainmenu"",""InventoryManagement"",""InboundOrders""]","","","移動オーダー"
"在庫管理","出庫指示","","","出荷","[""mainmenu"",""InventoryManagement"",""OutboundOrders""]","","","出荷"
"在庫管理","出庫指示","","","ピッキング ワークベンチ","[""mainmenu"",""InventoryManagement"",""OutboundOrders""]","","","ピッキング ワークベンチ"
"在庫管理","出庫指示","","","ピッキング リスト登録","[""mainmenu"",""InventoryManagement"",""OutboundOrders""]","","","ピッキング リスト登録"
"在庫管理","出庫指示","","","計画移動","[""mainmenu"",""InventoryManagement"",""OutboundOrders""]","","","計画移動"
"在庫管理","出庫指示","","","移動オーダー","[""mainmenu"",""InventoryManagement"",""OutboundOrders""]","","","移動オーダー"
"在庫管理","出庫指示","","","出荷注文","[""mainmenu"",""InventoryManagement"",""OutboundOrders""]","","","出荷注文"
"在庫管理","仕訳入力","品目","","移動","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""Items""]","","移動"
"在庫管理","仕訳入力","品目","","在庫調整","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""Items""]","","在庫調整"
"在庫管理","仕訳入力","品目","","転送","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""Items""]","","転送"
"在庫管理","仕訳入力","品目","","部品表","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""Items""]","","部品表"
"在庫管理","仕訳入力","品目","","在庫所有権変更","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""Items""]","","在庫所有権変更"
"在庫管理","仕訳入力","品目到着","","品目到着","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""ItemArrival""]","","品目到着"
"在庫管理","仕訳入力","品目到着","","生産入力","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""ItemArrival""]","","生産入力"
"在庫管理","仕訳入力","品目棚卸","","棚卸","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""ItemCounting""]","","棚卸"
"在庫管理","仕訳入力","品目棚卸","","タグ棚卸","[""mainmenu"",""InventoryManagement"",""JournalEntries""]","[""mainmenu"",""InventoryManagement"",""JournalEntries"",""ItemCounting""]","","タグ棚卸"
"在庫管理","照会およびレポート","","","手持在庫リスト","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","","","手持在庫リスト"
"在庫管理","照会およびレポート","","","棚卸履歴","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","","","棚卸履歴"
"在庫管理","照会およびレポート","","","運営インフラストラクチャ","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","","","運営インフラストラクチャ"
"在庫管理","照会およびレポート","","","BOM comparison","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","","","BOM comparison"
"在庫管理","照会およびレポート","","","トランザクション","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","","","トランザクション"
"在庫管理","照会およびレポート","追跡用分析コード","","品目追跡","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports"",""TrackingDimensions""]","","品目追跡"
"在庫管理","照会およびレポート","追跡用分析コード","","在庫所有者","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports"",""TrackingDimensions""]","","在庫所有者"
"在庫管理","照会およびレポート","追跡用分析コード","","バッチ","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports"",""TrackingDimensions""]","","バッチ"
"在庫管理","照会およびレポート","追跡用分析コード","","シリアル番号","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports""]","[""mainmenu"",""InventoryManagement"",""InquiriesAndReports"",""TrackingDimensions""]","","シリアル番号"
