Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"仕入先コラボレーション","ワークスペース","","","確認済の発注書","[""mainmenu"",""VendorPortal"",""Workspaces""]","","","確認済の発注書"
"仕入先コラボレーション","ワークスペース","","","請求","[""mainmenu"",""VendorPortal"",""Workspaces""]","","","請求"
"仕入先コラボレーション","ワークスペース","","","仕入先情報","[""mainmenu"",""VendorPortal"",""Workspaces""]","","","仕入先情報"
"仕入先コラボレーション","ワークスペース","","","仕入先の入札","[""mainmenu"",""VendorPortal"",""Workspaces""]","","","仕入先の入札"
"仕入先コラボレーション","連絡先","","","すべての連絡先","[""mainmenu"",""VendorPortal"",""Contacts""]","","","すべての連絡先"
"仕入先コラボレーション","連絡先","","","仕入先コラボレーション ユーザー","[""mainmenu"",""VendorPortal"",""Contacts""]","","","仕入先コラボレーション ユーザー"
"仕入先コラボレーション","連絡先","","","仕入先コラボレーションのユーザー要求","[""mainmenu"",""VendorPortal"",""Contacts""]","","","仕入先コラボレーションのユーザー要求"
"仕入先コラボレーション","発注書","","","確認用の発注書","[""mainmenu"",""VendorPortal"",""PurchaseOrders""]","","","確認用の発注書"
"仕入先コラボレーション","発注書","","","発注書仕入先確認履歴","[""mainmenu"",""VendorPortal"",""PurchaseOrders""]","","","発注書仕入先確認履歴"
"仕入先コラボレーション","発注書","","","確認済発注書を開く","[""mainmenu"",""VendorPortal"",""PurchaseOrders""]","","","確認済発注書を開く"
"仕入先コラボレーション","発注書","","","すべての確認済発注書","[""mainmenu"",""VendorPortal"",""PurchaseOrders""]","","","すべての確認済発注書"
"仕入先コラボレーション","委託販売在庫","","","委託販売在庫を消費する発注書","[""mainmenu"",""VendorPortal"",""ConsignmentInventory""]","","","委託販売在庫を消費する発注書"
"仕入先コラボレーション","委託販売在庫","","","委託販売在庫から受領された製品","[""mainmenu"",""VendorPortal"",""ConsignmentInventory""]","","","委託販売在庫から受領された製品"
"仕入先コラボレーション","委託販売在庫","","","手持委託販売在庫","[""mainmenu"",""VendorPortal"",""ConsignmentInventory""]","","","手持委託販売在庫"
"仕入先コラボレーション","見積依頼","","","見積依頼入札","[""mainmenu"",""VendorPortal"",""RequestForQuotations""]","","","見積依頼入札"
