Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"資産管理","ワークスペース","","","メンテナンス要求の管理","[""mainmenu"",""EntAsset"",""Workspaces""]","","","メンテナンス要求の管理"
"資産管理","ワークスペース","","","作業指示書管理","[""mainmenu"",""EntAsset"",""Workspaces""]","","","作業指示書管理"
"資産管理","資産","","","全資産","[""mainmenu"",""EntAsset"",""ObjectsMenu""]","","","全資産"
"資産管理","資産","","","有効な資産","[""mainmenu"",""EntAsset"",""ObjectsMenu""]","","","有効な資産"
"資産管理","資産","","","自分の有効な資産","[""mainmenu"",""EntAsset"",""ObjectsMenu""]","","","自分の有効な資産"
"資産管理","資産","","","保留中資産","[""mainmenu"",""EntAsset"",""ObjectsMenu""]","","","保留中資産"
"資産管理","資産","","","資産の表示","[""mainmenu"",""EntAsset"",""ObjectsMenu""]","","","資産の表示"
"資産管理","機能の場所","","","すべての機能の場所","[""mainmenu"",""EntAsset"",""FunctionalLocations""]","","","すべての機能の場所"
"資産管理","機能の場所","","","有効な機能の場所","[""mainmenu"",""EntAsset"",""FunctionalLocations""]","","","有効な機能の場所"
"資産管理","機能の場所","","","自分の有効な機能の場所","[""mainmenu"",""EntAsset"",""FunctionalLocations""]","","","自分の有効な機能の場所"
"資産管理","メンテナンス要求","","","すべてのメンテナンス要求","[""mainmenu"",""EntAsset"",""RequestsMenu""]","","","すべてのメンテナンス要求"
"資産管理","メンテナンス要求","","","有効なメンテナンス要求","[""mainmenu"",""EntAsset"",""RequestsMenu""]","","","有効なメンテナンス要求"
"資産管理","メンテナンス要求","","","自分の機能の場所のメンテナンス要求","[""mainmenu"",""EntAsset"",""RequestsMenu""]","","","自分の機能の場所のメンテナンス要求"
"資産管理","作業指示書","","","すべての作業指示書","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","すべての作業指示書"
"資産管理","作業指示書","","","有効な作業指示書","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","有効な作業指示書"
"資産管理","作業指示書","","","作業指示書のスケジュール","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","作業指示書のスケジュール"
"資産管理","作業指示書","","","自分の作業指示書のスケジュール","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","自分の作業指示書のスケジュール"
"資産管理","作業指示書","","","スケジュールされていない有効な作業指示書メンテナンス作業","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","スケジュールされていない有効な作業指示書メンテナンス作業"
"資産管理","作業指示書","","","有効な作業指示書メンテナンス作業","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","有効な作業指示書メンテナンス作業"
"資産管理","作業指示書","","","すべての作業指示書メンテナンス作業","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","すべての作業指示書メンテナンス作業"
"資産管理","作業指示書","","","自分の機能の場所の作業指示書メンテナンス作業","[""mainmenu"",""EntAsset"",""WorkOrdersMenu""]","","","自分の機能の場所の作業指示書メンテナンス作業"
