Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"時刻と出勤","確認および承認","","","承認","[""mainmenu"",""TimeAndAttendance"",""ReviewandApprove""]","","","承認"
"時刻と出勤","確認および承認","","","計算","[""mainmenu"",""TimeAndAttendance"",""ReviewandApprove""]","","","計算"
"時刻と出勤","確認および承認","","","すべてを計算","[""mainmenu"",""TimeAndAttendance"",""ReviewandApprove""]","","","すべてを計算"
"時刻と出勤","確認および承認","","","計画休暇の作成","[""mainmenu"",""TimeAndAttendance"",""ReviewandApprove""]","","","計画休暇の作成"
"時刻と出勤","登録の管理","","","集団登録","[""mainmenu"",""TimeAndAttendance"",""ManageRegistrations""]","","","集団登録"
"時刻と出勤","登録の管理","","","作業者の退勤記録","[""mainmenu"",""TimeAndAttendance"",""ManageRegistrations""]","","","作業者の退勤記録"
"時刻と出勤","間接活動の管理","","","間接活動","[""mainmenu"",""TimeAndAttendance"",""ManageIndirectActivities""]","","","間接活動"
"時刻と出勤","間接活動の管理","","","間接活動原価の転記","[""mainmenu"",""TimeAndAttendance"",""ManageIndirectActivities""]","","","間接活動原価の転記"
"時刻と出勤","給与の管理","","","支払へ振替","[""mainmenu"",""TimeAndAttendance"",""MaintainPayroll""]","","","支払へ振替"
"時刻と出勤","給与の管理","","","作業者時間残数の再計算","[""mainmenu"",""TimeAndAttendance"",""MaintainPayroll""]","","","作業者時間残数の再計算"
"時刻と出勤","給与の管理","","","給与統計の再計算","[""mainmenu"",""TimeAndAttendance"",""MaintainPayroll""]","","","給与統計の再計算"
"時刻と出勤","給与の管理","","","給与統計の調整","[""mainmenu"",""TimeAndAttendance"",""MaintainPayroll""]","","","給与統計の調整"
"時刻と出勤","フレックス タイムの管理","","","フレックス時間残数の再計算","[""mainmenu"",""TimeAndAttendance"",""ManageFlexTime""]","","","フレックス時間残数の再計算"
"時刻と出勤","フレックス タイムの管理","","","フレックス時間残数の調整","[""mainmenu"",""TimeAndAttendance"",""ManageFlexTime""]","","","フレックス時間残数の調整"
"時刻と出勤","照会およびレポート","","","チーム","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","","","チーム"
"時刻と出勤","照会およびレポート","","","計算および承認状態","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","","","計算および承認状態"
"時刻と出勤","照会およびレポート","出席","","出席","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Attendance""]","","出席"
"時刻と出勤","照会およびレポート","出席","","出勤レポート","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Attendance""]","","出勤レポート"
"時刻と出勤","照会およびレポート","休暇レポート","","休暇統計値","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""AbsenceReports""]","","休暇統計値"
"時刻と出勤","照会およびレポート","休暇レポート","","休暇フォーム","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""AbsenceReports""]","","休暇フォーム"
"時刻と出勤","照会およびレポート","休暇レポート","","計画済休暇","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""AbsenceReports""]","","計画済休暇"
"時刻と出勤","照会およびレポート","間接活動","","間接活動原価","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""IndirectActivities""]","","間接活動原価"
"時刻と出勤","照会およびレポート","間接活動","","間接活動原価の統計レポート","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""IndirectActivities""]","","間接活動原価の統計レポート"
"時刻と出勤","照会およびレポート","登録","","作業登録","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Registrations""]","","作業登録"
"時刻と出勤","照会およびレポート","登録","","登録履歴","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Registrations""]","","登録履歴"
"時刻と出勤","照会およびレポート","登録","","移動済登録","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Registrations""]","","移動済登録"
"時刻と出勤","照会およびレポート","登録","","作業登録アーカイブ","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Registrations""]","","作業登録アーカイブ"
"時刻と出勤","照会およびレポート","給与","","支払項目","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Payroll""]","","支払項目"
"時刻と出勤","照会およびレポート","給与","","統計","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Payroll""]","","統計"
"時刻と出勤","照会およびレポート","給与","","支払詳細レポート","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Payroll""]","","支払詳細レポート"
"時刻と出勤","照会およびレポート","給与","","給与統計レポート","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""Payroll""]","","給与統計レポート"
"時刻と出勤","照会およびレポート","フレックス タイム レポート","","フレックス限度を超過","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""FlexTimeReports""]","","フレックス限度を超過"
"時刻と出勤","照会およびレポート","フレックス タイム レポート","","フレックスの概要","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""FlexTimeReports""]","","フレックスの概要"
"時刻と出勤","照会およびレポート","ワーク プランナー レポート","","プロファイル","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""WorkPlannerReports""]","","プロファイル"
"時刻と出勤","照会およびレポート","ワーク プランナー レポート","","作業者","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""WorkPlannerReports""]","","作業者"
"時刻と出勤","照会およびレポート","基本データ レポート","","作業者","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""BaseDataReports""]","","作業者"
"時刻と出勤","照会およびレポート","基本データ レポート","","間接活動","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""BaseDataReports""]","","間接活動"
"時刻と出勤","照会およびレポート","基本データ レポート","","支払協定","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""BaseDataReports""]","","支払協定"
"時刻と出勤","照会およびレポート","基本データ レポート","","日単位のプロファイル","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""BaseDataReports""]","","日単位のプロファイル"
"時刻と出勤","照会およびレポート","基本データ レポート","","週単位のプロファイル","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports""]","[""mainmenu"",""TimeAndAttendance"",""InquiriesAndReports"",""BaseDataReports""]","","週単位のプロファイル"
"時刻と出勤","定期処理のタスク","","","登録のクリーンアップ","[""mainmenu"",""TimeAndAttendance"",""PeriodicTasks""]","","","登録のクリーンアップ"
"時刻と出勤","定期処理のタスク","","","計画登録をアーカイブに保存","[""mainmenu"",""TimeAndAttendance"",""PeriodicTasks""]","","","計画登録をアーカイブに保存"
"時刻と出勤","定期処理のタスク","","","過去の作業者の無効化","[""mainmenu"",""TimeAndAttendance"",""PeriodicTasks""]","","","過去の作業者の無効化"
