Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"小売とコスーマ","製品とカテゴリ","","","カテゴリと製品の管理","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","カテゴリと製品の管理"
"小売とコスーマ","製品とカテゴリ","","","カテゴリ別製品","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","カテゴリ別製品"
"小売とコスーマ","製品とカテゴリ","","","カテゴリ別リリース済製品","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","カテゴリ別リリース済製品"
"小売とコスーマ","製品とカテゴリ","","","製品キット","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","製品キット"
"小売とコスーマ","製品とカテゴリ","","","リリースされた製品キット","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","リリースされた製品キット"
"小売とコスーマ","製品とカテゴリ","","","キット オーダー","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","キット オーダー"
"小売とコスーマ","製品とカテゴリ","","","製品画像","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","製品画像"
"小売とコスーマ","製品とカテゴリ","","","コマース製品階層","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","コマース製品階層"
"小売とコスーマ","製品とカテゴリ","","","補助製品カテゴリ","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","補助製品カテゴリ"
"小売とコスーマ","製品とカテゴリ","","","チャネル ナビゲーション カテゴリ","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","チャネル ナビゲーション カテゴリ"
"小売とコスーマ","製品とカテゴリ","","","カテゴリ画像","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","","","カテゴリ画像"
"小売とコスーマ","製品とカテゴリ","バリアント グループ","","サイズ","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","[""mainmenu"",""RetailMain"",""ProductsAndCategories"",""VariantGroups""]","","サイズ"
"小売とコスーマ","製品とカテゴリ","バリアント グループ","","サイズ グループ","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","[""mainmenu"",""RetailMain"",""ProductsAndCategories"",""VariantGroups""]","","サイズ グループ"
"小売とコスーマ","製品とカテゴリ","バリアント グループ","","カラー","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","[""mainmenu"",""RetailMain"",""ProductsAndCategories"",""VariantGroups""]","","カラー"
"小売とコスーマ","製品とカテゴリ","バリアント グループ","","色グループ","[""mainmenu"",""RetailMain"",""ProductsAndCategories""]","[""mainmenu"",""RetailMain"",""ProductsAndCategories"",""VariantGroups""]","","色グループ"
