Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"人事管理","ワークスペース","","","人員","[""mainmenu"",""HRM"",""Workspaces""]","","","人員"
"人事管理","ワークスペース","","","従業員の開発","[""mainmenu"",""HRM"",""Workspaces""]","","","従業員の開発"
"人事管理","ワークスペース","","","学習","[""mainmenu"",""HRM"",""Workspaces""]","","","学習"
"人事管理","ワークスペース","","","人事管理","[""mainmenu"",""HRM"",""Workspaces""]","","","人事管理"
"人事管理","ワークスペース","","","報酬管理","[""mainmenu"",""HRM"",""Workspaces""]","","","報酬管理"
"人事管理","ワークスペース","","","給付金","[""mainmenu"",""HRM"",""Workspaces""]","","","給付金"
"人事管理","ワークスペース","","","従業員セルフ サービス","[""mainmenu"",""HRM"",""Workspaces""]","","","従業員セルフ サービス"
"人事管理","ワークスペース","","","採用管理","[""mainmenu"",""HRM"",""Workspaces""]","","","採用管理"
"人事管理","ワークスペース","","","タスク管理","[""mainmenu"",""HRM"",""Workspaces""]","","","タスク管理"
"人事管理","ワークスペース","","","人事の業務プロセス","[""mainmenu"",""HRM"",""Workspaces""]","","","人事の業務プロセス"
"人事管理","作業者","","","従業員","[""mainmenu"",""HRM"",""Workers""]","","","従業員"
"人事管理","作業者","","","契約社員","[""mainmenu"",""HRM"",""Workers""]","","","契約社員"
"人事管理","作業者","","","作業者","[""mainmenu"",""HRM"",""Workers""]","","","作業者"
"人事管理","作業者","","","過去の作業者","[""mainmenu"",""HRM"",""Workers""]","","","過去の作業者"
"人事管理","作業者","","","保留中の作業者","[""mainmenu"",""HRM"",""Workers""]","","","保留中の作業者"
"人事管理","作業者","","","期限切れに関して試用期間がある従業員","[""mainmenu"",""HRM"",""Workers""]","","","期限切れに関して試用期間がある従業員"
"人事管理","作業者","","","雇用されていない作業者","[""mainmenu"",""HRM"",""Workers""]","","","雇用されていない作業者"
"人事管理","作業者","","","作業者ユーザー要求","[""mainmenu"",""HRM"",""Workers""]","","","作業者ユーザー要求"
"人事管理","作業者","I-9","","I-9 ドキュメント タイプ","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""I9""]","","I-9 ドキュメント タイプ"
"人事管理","作業者","I-9","","I-9 ドキュメント","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""I9""]","","I-9 ドキュメント"
"人事管理","作業者","I-9","","I-9 ドキュメント タイプの有効期限","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""I9""]","","I-9 ドキュメント タイプの有効期限"
"人事管理","作業者","休暇","","休暇タイプ","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""Leave""]","","休暇タイプ"
"人事管理","作業者","休暇","","休暇中の従業員","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""Leave""]","","休暇中の従業員"
"人事管理","作業者","休暇","","FMLA ケース","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""Leave""]","","FMLA ケース"
"人事管理","作業者","休暇","","FMLA 休暇取得レポート","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""Leave""]","","FMLA 休暇取得レポート"
"人事管理","作業者","けが/病気","","けが/病気インシデント","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""InjuryAndIllness""]","","けが/病気インシデント"
"人事管理","作業者","けが/病気","","けがおよび病気の設定","[""mainmenu"",""HRM"",""Workers""]","[""mainmenu"",""HRM"",""Workers"",""InjuryAndIllness""]","","けがおよび病気の設定"
