Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"生産管理","ワークスペース","","","生産フロアの管理","[""mainmenu"",""ProductionControl"",""Workspaces""]","","","生産フロアの管理"
"生産管理","製造オーダー","","","すべての製造オーダー","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","すべての製造オーダー"
"生産管理","製造オーダー","","","計画製造オーダー","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","計画製造オーダー"
"生産管理","製造オーダー","","","遅延製造オーダー","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","遅延製造オーダー"
"生産管理","製造オーダー","","","現在の生産ジョブ","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","現在の生産ジョブ"
"生産管理","製造オーダー","","","製造計画","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","製造計画"
"生産管理","製造オーダー","","","製造開始","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","製造開始"
"生産管理","製造オーダー","","","製造リリース","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","製造リリース"
"生産管理","製造オーダー","","","連結バッチ オーダー (複数)","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","連結バッチ オーダー (複数)"
"生産管理","製造オーダー","","","繰延製造オーダーの転記","[""mainmenu"",""ProductionControl"",""ProductionOrders""]","","","繰延製造オーダーの転記"
"生産管理","工程","","","現在の工程","[""mainmenu"",""ProductionControl"",""Operations""]","","","現在の工程"
"生産管理","工程","","","バッチ オーダーの現在の工程","[""mainmenu"",""ProductionControl"",""Operations""]","","","バッチ オーダーの現在の工程"
"生産管理","工程","","","すべての工順","[""mainmenu"",""ProductionControl"",""Operations""]","","","すべての工順"
"生産管理","工程","","","外注業務","[""mainmenu"",""ProductionControl"",""Operations""]","","","外注業務"
"生産管理","かんばん","","","かんばんスケジュール ボード","[""mainmenu"",""ProductionControl"",""LeanManufacturingKanban""]","","","かんばんスケジュール ボード"
"生産管理","かんばん","","","かんばん作業のスケジューリング","[""mainmenu"",""ProductionControl"",""LeanManufacturingKanban""]","","","かんばん作業のスケジューリング"
"生産管理","かんばん","","","プロセス ジョブのかんばんボード","[""mainmenu"",""ProductionControl"",""LeanManufacturingKanban""]","","","プロセス ジョブのかんばんボード"
