Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"製品情報管理","ワークスペース","","","リリース済製品の保守","[""mainmenu"",""ProductInformationManagement"",""Workspaces""]","","","リリース済製品の保守"
"製品情報管理","ワークスペース","","","製品バリアント モデルの定義","[""mainmenu"",""ProductInformationManagement"",""Workspaces""]","","","製品バリアント モデルの定義"
"製品情報管理","ワークスペース","","","個別製造向けの製品の準備","[""mainmenu"",""ProductInformationManagement"",""Workspaces""]","","","個別製造向けの製品の準備"
"製品情報管理","ワークスペース","","","プロセス製造向けの製品の準備","[""mainmenu"",""ProductInformationManagement"",""Workspaces""]","","","プロセス製造向けの製品の準備"
"製品情報管理","製品","","","すべての製品および製品マスター","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","すべての製品および製品マスター"
"製品情報管理","製品","","","製品","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","製品"
"製品情報管理","製品","","","製品マスター","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","製品マスター"
"製品情報管理","製品","","","製品バリアント","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","製品バリアント"
"製品情報管理","製品","","","カテゴリ別製品","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","カテゴリ別製品"
"製品情報管理","製品","","","リリースされた製品","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","リリースされた製品"
"製品情報管理","製品","","","カテゴリ別リリース済製品","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","カテゴリ別リリース済製品"
"製品情報管理","製品","","","リリース済製品バリアント","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","リリース済製品バリアント"
"製品情報管理","製品","","","製品コンフィギュレーション モデル","[""mainmenu"",""ProductInformationManagement"",""Products""]","","","製品コンフィギュレーション モデル"
"製品情報管理","部品表およびフォーミュラ","","","部品表","[""mainmenu"",""ProductInformationManagement"",""BillOfMaterialAndFormulas""]","","","部品表"
"製品情報管理","部品表およびフォーミュラ","","","フォーミュラ","[""mainmenu"",""ProductInformationManagement"",""BillOfMaterialAndFormulas""]","","","フォーミュラ"
"製品情報管理","ケース","","","すべてのケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","すべてのケース"
"製品情報管理","ケース","","","自分のケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","自分のケース"
"製品情報管理","ケース","","","自分のオープンなケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","自分のオープンなケース"
"製品情報管理","ケース","","","オープンなケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","オープンなケース"
"製品情報管理","ケース","","","自分の期限を過ぎたケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","自分の期限を過ぎたケース"
"製品情報管理","ケース","","","ワークフローを使用して自分に割り当てられたケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","ワークフローを使用して自分に割り当てられたケース"
"製品情報管理","ケース","","","自分のキューに割り当てられたケース","[""mainmenu"",""ProductInformationManagement"",""Cases""]","","","自分のキューに割り当てられたケース"
"製品情報管理","リーン生産","","","リーン スケジュール グループ","[""mainmenu"",""ProductInformationManagement"",""LeanManufacturing""]","","","リーン スケジュール グループ"
"製品情報管理","リーン生産","","","かんばんルール","[""mainmenu"",""ProductInformationManagement"",""LeanManufacturing""]","","","かんばんルール"
