Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"税","間接税","消費税","","消費税コード","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","消費税コード"
"税","間接税","消費税","","消費税グループ","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","消費税グループ"
"税","間接税","消費税","","品目消費税グループ","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","品目消費税グループ"
"税","間接税","消費税","","消費税所轄官庁","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","消費税所轄官庁"
"税","間接税","消費税","","消費税決済期間","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","消費税決済期間"
"税","間接税","消費税","","統一消費税分析コード","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","統一消費税分析コード"
"税","間接税","消費税","","統一消費税ルール","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""SalesTax""]","","統一消費税ルール"
"税","間接税","源泉徴収税","","源泉徴収税コード","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""WithholdingTax""]","","源泉徴収税コード"
"税","間接税","源泉徴収税","","源泉徴収税グループ","[""mainmenu"",""Tax"",""Maintain""]","[""mainmenu"",""Tax"",""Maintain"",""WithholdingTax""]","","源泉徴収税グループ"
"税","照会およびレポート","消費税の照会","","転記済消費税","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxInquiries""]","","転記済消費税"
"税","照会およびレポート","消費税の照会","","転記済消費税履歴","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxInquiries""]","","転記済消費税履歴"
"税","照会およびレポート","消費税の照会","","消費税支払","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxInquiries""]","","消費税支払"
"税","照会およびレポート","消費税の照会","","消費税を含まない伝票トランザクション","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxInquiries""]","","消費税を含まない伝票トランザクション"
"税","照会およびレポート","消費税レポート","","コード別消費税支払","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","コード別消費税支払"
"税","照会およびレポート","消費税レポート","","消費税トランザクション - 詳細","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","消費税トランザクション - 詳細"
"税","照会およびレポート","消費税レポート","","売上税一般仕訳帳調整","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","売上税一般仕訳帳調整"
"税","照会およびレポート","消費税レポート","","元帳トランザクション別消費税詳細","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","元帳トランザクション別消費税詳細"
"税","照会およびレポート","消費税レポート","","顧客別消費税","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","顧客別消費税"
"税","照会およびレポート","消費税レポート","","仕入先別消費税","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","仕入先別消費税"
"税","照会およびレポート","消費税レポート","","消費税/元帳の調整","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","消費税/元帳の調整"
"税","照会およびレポート","消費税レポート","","消費税誤差","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","消費税誤差"
"税","照会およびレポート","消費税レポート","","詳細","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","詳細"
"税","照会およびレポート","消費税レポート","","消費税リスト","[""mainmenu"",""Tax"",""ReportInquire""]","[""mainmenu"",""Tax"",""ReportInquire"",""SalesTaxReports""]","","消費税リスト"
