Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"組織管理","ワークスペース","","","リソース ライフサイクル管理","[""mainmenu"",""OrganizationAdministration"",""Workspaces""]","","","リソース ライフサイクル管理"
"組織管理","ワークスペース","","","電子申告","[""mainmenu"",""OrganizationAdministration"",""Workspaces""]","","","電子申告"
"組織管理","ワークスペース","","","ビジネス ドキュメントの管理","[""mainmenu"",""OrganizationAdministration"",""Workspaces""]","","","ビジネス ドキュメントの管理"
"組織管理","ワークスペース","","","自分の業務プロセス","[""mainmenu"",""OrganizationAdministration"",""Workspaces""]","","","自分の業務プロセス"
"組織管理","ワークスペース","","","セッション日時","[""mainmenu"",""OrganizationAdministration"",""Workspaces""]","","","セッション日時"
"組織管理","ワークスペース","","","通貨の選択","[""mainmenu"",""OrganizationAdministration"",""Workspaces""]","","","通貨の選択"
"組織管理","番号順序","","","番号順序","[""mainmenu"",""OrganizationAdministration"",""NumberSequences""]","","","番号順序"
"組織管理","番号順序","","","区分のコンフィギュレーション","[""mainmenu"",""OrganizationAdministration"",""NumberSequences""]","","","区分のコンフィギュレーション"
"組織管理","番号順序","","","時系列の番号順序グループ","[""mainmenu"",""OrganizationAdministration"",""NumberSequences""]","","","時系列の番号順序グループ"
"組織管理","組織","","","法人","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","法人"
"組織管理","組織","","","作業単位","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","作業単位"
"組織管理","組織","","","職位階層","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","職位階層"
"組織管理","組織","","","組織階層","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","組織階層"
"組織管理","組織","","","組織階層の目的","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","組織階層の目的"
"組織管理","組織","","","チーム","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","チーム"
"組織管理","組織","","","内部組織","[""mainmenu"",""OrganizationAdministration"",""Organizations""]","","","内部組織"
"組織管理","グローバル アドレス帳","","","グローバル アドレス帳","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","グローバル アドレス帳"
"組織管理","グローバル アドレス帳","","","グローバル アドレス帳パラメーター","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","グローバル アドレス帳パラメーター"
"組織管理","グローバル アドレス帳","","","名前のタイトルまたは接尾語","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","名前のタイトルまたは接尾語"
"組織管理","グローバル アドレス帳","","","アドレス帳","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","アドレス帳"
"組織管理","グローバル アドレス帳","","","名前の順序","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","名前の順序"
"組織管理","グローバル アドレス帳","","","関係タイプ","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","関係タイプ"
"組織管理","グローバル アドレス帳","","","住所と連絡先情報の目的","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","住所と連絡先情報の目的"
"組織管理","グローバル アドレス帳","","","翻訳","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","翻訳"
"組織管理","グローバル アドレス帳","","","場所の所有者の確認","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","","","場所の所有者の確認"
"組織管理","グローバル アドレス帳","住所","","住所の設定","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","[""mainmenu"",""OrganizationAdministration"",""AddressBooks"",""Addresses""]","","住所の設定"
"組織管理","グローバル アドレス帳","住所","","翻訳","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","[""mainmenu"",""OrganizationAdministration"",""AddressBooks"",""Addresses""]","","翻訳"
"組織管理","グローバル アドレス帳","住所","","郵便番号のインポート","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","[""mainmenu"",""OrganizationAdministration"",""AddressBooks"",""Addresses""]","","郵便番号のインポート"
"組織管理","グローバル アドレス帳","登録タイプ","","登録タイプ","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","[""mainmenu"",""OrganizationAdministration"",""AddressBooks"",""RegistrationTypes""]","","登録タイプ"
"組織管理","グローバル アドレス帳","登録タイプ","","登録カテゴリ","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","[""mainmenu"",""OrganizationAdministration"",""AddressBooks"",""RegistrationTypes""]","","登録カテゴリ"
"組織管理","グローバル アドレス帳","登録タイプ","","発行機関","[""mainmenu"",""OrganizationAdministration"",""AddressBooks""]","[""mainmenu"",""OrganizationAdministration"",""AddressBooks"",""RegistrationTypes""]","","発行機関"
"組織管理","リソース","","","ガント チャート","[""mainmenu"",""OrganizationAdministration"",""Resources""]","","","ガント チャート"
"組織管理","リソース","","","リソースの能力","[""mainmenu"",""OrganizationAdministration"",""Resources""]","","","リソースの能力"
"組織管理","リソース","","","リソース グループ","[""mainmenu"",""OrganizationAdministration"",""Resources""]","","","リソース グループ"
"組織管理","リソース","","","リソース","[""mainmenu"",""OrganizationAdministration"",""Resources""]","","","リソース"
"組織管理","電子申告","","","コンフィギュレーション","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","コンフィギュレーション"
"組織管理","電子申告","","","電子申告ジョブ","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","電子申告ジョブ"
"組織管理","電子申告","","","コンフィギュレーションのデバッグ ログ","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","コンフィギュレーションのデバッグ ログ"
"組織管理","電子申告","","","テーブル参照の再構築","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","テーブル参照の再構築"
"組織管理","電子申告","","","コンフィギュレーション提供者テーブル","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","コンフィギュレーション提供者テーブル"
"組織管理","電子申告","","","電子申告ソース","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","電子申告ソース"
"組織管理","電子申告","","","電子申告の送信先","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","電子申告の送信先"
"組織管理","電子申告","","","電子申告アーカイブ済ジョブ","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","電子申告アーカイブ済ジョブ"
"組織管理","電子申告","","","ソースのファイルの状態","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","ソースのファイルの状態"
"組織管理","電子申告","","","形式の法人フィルター","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","形式の法人フィルター"
"組織管理","電子申告","","","壊れたテンプレートの復元","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","","","壊れたテンプレートの復元"
"組織管理","電子申告","ビジネス ドキュメントの管理","","ビジネス ドキュメントのパラメーター","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting"",""ERBDManagement""]","","ビジネス ドキュメントのパラメーター"
"組織管理","電子申告","ビジネス ドキュメントの管理","","テンプレートを編集するアクセス許可の管理","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting""]","[""mainmenu"",""OrganizationAdministration"",""ElectronicReporting"",""ERBDManagement""]","","テンプレートを編集するアクセス許可の管理"
"組織管理","ワークフロー","","","ワークフロー パラメーター","[""mainmenu"",""OrganizationAdministration"",""Workflow""]","","","ワークフロー パラメーター"
"組織管理","ワークフロー","","","組織ワークフロー","[""mainmenu"",""OrganizationAdministration"",""Workflow""]","","","組織ワークフロー"
"組織管理","ワークフロー","","","作業項目キュー グループ","[""mainmenu"",""OrganizationAdministration"",""Workflow""]","","","作業項目キュー グループ"
"組織管理","ワークフロー","","","作業項目キュー","[""mainmenu"",""OrganizationAdministration"",""Workflow""]","","","作業項目キュー"
"組織管理","ワークフロー","","","作業項目キューの割り当てルール","[""mainmenu"",""OrganizationAdministration"",""Workflow""]","","","作業項目キューの割り当てルール"
"組織管理","ワークフロー","","","ワークフロー履歴","[""mainmenu"",""OrganizationAdministration"",""Workflow""]","","","ワークフロー履歴"
"組織管理","ドキュメント管理","","","有効なドキュメント テーブル","[""mainmenu"",""OrganizationAdministration"",""DocumentManagement""]","","","有効なドキュメント テーブル"
"組織管理","ドキュメント管理","","","ドキュメント コンテンツ タイプ","[""mainmenu"",""OrganizationAdministration"",""DocumentManagement""]","","","ドキュメント コンテンツ タイプ"
"組織管理","ドキュメント管理","","","ドキュメント管理パラメーター","[""mainmenu"",""OrganizationAdministration"",""DocumentManagement""]","","","ドキュメント管理パラメーター"
"組織管理","ドキュメント管理","","","ドキュメント タイプ","[""mainmenu"",""OrganizationAdministration"",""DocumentManagement""]","","","ドキュメント タイプ"
"組織管理","ドキュメント管理","","","添付ファイルのエクスポート","[""mainmenu"",""OrganizationAdministration"",""DocumentManagement""]","","","添付ファイルのエクスポート"
"組織管理","照会およびレポート","","","印刷アーカイブ","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport""]","","","印刷アーカイブ"
"組織管理","照会およびレポート","","","レポート アーカイブ","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport""]","","","レポート アーカイブ"
"組織管理","照会およびレポート","リソース","","確保済能力","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport""]","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport"",""Resources_1""]","","確保済能力"
"組織管理","照会およびレポート","リソース","","最大能力負荷のグラフィック表示","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport""]","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport"",""Resources_1""]","","最大能力負荷のグラフィック表示"
"組織管理","照会およびレポート","リソース","","部門レポート","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport""]","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport"",""Resources_1""]","","部門レポート"
"組織管理","照会およびレポート","リソース","","確保済能力 (レポート)","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport""]","[""mainmenu"",""OrganizationAdministration"",""InquiriesAndReport"",""Resources_1""]","","確保済能力 (レポート)"
"組織管理","定期処理","","","バッチ処理","[""mainmenu"",""OrganizationAdministration"",""Periodic""]","","","バッチ処理"
"組織管理","定期処理","","","カレンダーのクリーンアップ","[""mainmenu"",""OrganizationAdministration"",""Periodic""]","","","カレンダーのクリーンアップ"
"組織管理","定期処理","","","無効化された住所を削除する","[""mainmenu"",""OrganizationAdministration"",""Periodic""]","","","無効化された住所を削除する"
"組織管理","定期処理","","","移行のクリーンアップ","[""mainmenu"",""OrganizationAdministration"",""Periodic""]","","","移行のクリーンアップ"
"組織管理","定期処理","","","すべての ER 構成に、スキーマを格納する選択済みのラベルを適用する","[""mainmenu"",""OrganizationAdministration"",""Periodic""]","","","すべての ER 構成に、スキーマを格納する選択済みのラベルを適用する"
"組織管理","設定","","","組織の電子メール テンプレート","[""mainmenu"",""OrganizationAdministration"",""Setup""]","","","組織の電子メール テンプレート"
"組織管理","設定","","","ネットワーク プリンター","[""mainmenu"",""OrganizationAdministration"",""Setup""]","","","ネットワーク プリンター"
"組織管理","設定","","","財務理由","[""mainmenu"",""OrganizationAdministration"",""Setup""]","","","財務理由"
"組織管理","設定","","","バーコード","[""mainmenu"",""OrganizationAdministration"",""Setup""]","","","バーコード"
"組織管理","設定","","","既定の説明","[""mainmenu"",""OrganizationAdministration"",""Setup""]","","","既定の説明"
"組織管理","設定","活動","","活動フェーズ","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Activities""]","","活動フェーズ"
"組織管理","設定","活動","","活動計画","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Activities""]","","活動計画"
"組織管理","設定","活動","","活動タイプ","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Activities""]","","活動タイプ"
"組織管理","設定","活動","","プロセス テンプレート","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Activities""]","","プロセス テンプレート"
"組織管理","設定","ケース","","ケース カテゴリ","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Cases""]","","ケース カテゴリ"
"組織管理","設定","ケース","","ケース カテゴリ タイプのセキュリティ","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Cases""]","","ケース カテゴリ タイプのセキュリティ"
"組織管理","設定","ケース","","ケース プロセス","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Cases""]","","ケース プロセス"
"組織管理","設定","ケース","","ケースのワークフロー","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Cases""]","","ケースのワークフロー"
"組織管理","設定","カテゴリ","","カテゴリ","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Categories""]","","カテゴリ"
"組織管理","設定","カテゴリ","","共有カテゴリ","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""Categories""]","","共有カテゴリ"
"組織管理","設定","電子署名","","電子署名のパラメーター","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""ElectronicSignature""]","","電子署名のパラメーター"
"組織管理","設定","電子署名","","電子署名要求","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""ElectronicSignature""]","","電子署名要求"
"組織管理","設定","電子署名","","電子署名の理由コード","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""ElectronicSignature""]","","電子署名の理由コード"
"組織管理","設定","Office 統合","","Excel ブック デザイナー","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""OfficeIntegration""]","","Excel ブック デザイナー"
"組織管理","設定","Office 統合","","ドキュメント テンプレート","[""mainmenu"",""OrganizationAdministration"",""Setup""]","[""mainmenu"",""OrganizationAdministration"",""Setup"",""OfficeIntegration""]","","ドキュメント テンプレート"
