Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"倉庫管理","ワークスペース","","","出庫作業の計画","[""mainmenu"",""WHS"",""Workspaces""]","","","出庫作業の計画"
"倉庫管理","ワークスペース","","","出庫作業の監視","[""mainmenu"",""WHS"",""Workspaces""]","","","出庫作業の監視"
"倉庫管理","ワークスペース","","","倉庫実装タスク","[""mainmenu"",""WHS"",""Workspaces""]","","","倉庫実装タスク"
"倉庫管理","ワークスペース","","","倉庫のモバイル デバイス","[""mainmenu"",""WHS"",""Workspaces""]","","","倉庫のモバイル デバイス"
"倉庫管理","ワークスペース","","","倉庫統合監視","[""mainmenu"",""WHS"",""Workspaces""]","","","倉庫統合監視"
"倉庫管理","ワークスペース","","","外部倉庫統合監視","[""mainmenu"",""WHS"",""Workspaces""]","","","外部倉庫統合監視"
"倉庫管理","出庫オーダー","","","出庫オーダー","[""mainmenu"",""WHS"",""WHSOutboundShipmentOrders""]","","","出庫オーダー"
"倉庫管理","出庫オーダー","","","出荷梱包明細","[""mainmenu"",""WHS"",""WHSOutboundShipmentOrders""]","","","出荷梱包明細"
"倉庫管理","出庫オーダー","","","出庫オーダー メッセージ","[""mainmenu"",""WHS"",""WHSOutboundShipmentOrders""]","","","出庫オーダー メッセージ"
"倉庫管理","入庫オーダー","","","入庫オーダー","[""mainmenu"",""WHS"",""WHSInboundShipmentOrders""]","","","入庫オーダー"
"倉庫管理","入庫オーダー","","","出荷受領書","[""mainmenu"",""WHS"",""WHSInboundShipmentOrders""]","","","出荷受領書"
"倉庫管理","入庫オーダー","","","入庫オーダー メッセージ","[""mainmenu"",""WHS"",""WHSInboundShipmentOrders""]","","","入庫オーダー メッセージ"
"倉庫管理","外部倉庫出荷オーダー","","","外部倉庫出庫オーダー要求","[""mainmenu"",""WHS"",""WHSEWShipmentOrders""]","","","外部倉庫出庫オーダー要求"
"倉庫管理","外部倉庫出荷オーダー","","","外部倉庫入庫オーダー要求","[""mainmenu"",""WHS"",""WHSEWShipmentOrders""]","","","外部倉庫入庫オーダー要求"
"倉庫管理","外部倉庫出荷オーダー","","","外部倉庫出庫オーダー更新","[""mainmenu"",""WHS"",""WHSEWShipmentOrders""]","","","外部倉庫出庫オーダー更新"
"倉庫管理","外部倉庫出荷オーダー","","","外部倉庫入庫オーダー更新","[""mainmenu"",""WHS"",""WHSEWShipmentOrders""]","","","外部倉庫入庫オーダー更新"
"倉庫管理","ソース システム製品","","","ソース システムの製品メッセージ","[""mainmenu"",""WHS"",""WHSSourceSystemProducts""]","","","ソース システムの製品メッセージ"
"倉庫管理","ソース システム製品","","","ソース システムの製品バリアント メッセージ","[""mainmenu"",""WHS"",""WHSSourceSystemProducts""]","","","ソース システムの製品バリアント メッセージ"
"倉庫管理","ソース システム製品","","","ソース システムの製品バーコード メッセージ","[""mainmenu"",""WHS"",""WHSSourceSystemProducts""]","","","ソース システムの製品バーコード メッセージ"
"倉庫管理","ソース システム製品","","","ソース システム製品ドキュメント添付ファイル メッセージ","[""mainmenu"",""WHS"",""WHSSourceSystemProducts""]","","","ソース システム製品ドキュメント添付ファイル メッセージ"
"倉庫管理","ソース システム製品","","","ソース システム製品のグローバル取引品目番号メッセージ","[""mainmenu"",""WHS"",""WHSSourceSystemProducts""]","","","ソース システム製品のグローバル取引品目番号メッセージ"
"倉庫管理","ソース システム製品","","","ソース システム製品に固有の測定単位変換のメッセージ","[""mainmenu"",""WHS"",""WHSSourceSystemProducts""]","","","ソース システム製品に固有の測定単位変換のメッセージ"
"倉庫管理","積載","","","すべての貨物","[""mainmenu"",""WHS"",""Loads""]","","","すべての貨物"
"倉庫管理","積載","","","有効な積荷","[""mainmenu"",""WHS"",""Loads""]","","","有効な積荷"
"倉庫管理","積載","","","オープン積荷","[""mainmenu"",""WHS"",""Loads""]","","","オープン積荷"
"倉庫管理","積載","","","ウェーブ積荷","[""mainmenu"",""WHS"",""Loads""]","","","ウェーブ積荷"
"倉庫管理","積載","","","ピッキング積荷","[""mainmenu"",""WHS"",""Loads""]","","","ピッキング積荷"
"倉庫管理","積載","","","出荷準備が完了した積荷","[""mainmenu"",""WHS"",""Loads""]","","","出荷準備が完了した積荷"
"倉庫管理","積載","","","積荷計画ワークベンチ","[""mainmenu"",""WHS"",""Loads""]","","","積荷計画ワークベンチ"
"倉庫管理","積載","","","入荷積荷計画ワークベンチ","[""mainmenu"",""WHS"",""Loads""]","","","入荷積荷計画ワークベンチ"
"倉庫管理","積載","","","出荷積荷計画ワークベンチ","[""mainmenu"",""WHS"",""Loads""]","","","出荷積荷計画ワークベンチ"
"倉庫管理","積載","","","積荷レポート","[""mainmenu"",""WHS"",""Loads""]","","","積荷レポート"
"倉庫管理","積載","","","積荷リスト レポート","[""mainmenu"",""WHS"",""Loads""]","","","積荷リスト レポート"
"倉庫管理","積載","","","輸送積荷","[""mainmenu"",""WHS"",""Loads""]","","","輸送積荷"
"倉庫管理","倉庫にリリース","","","販売注文を倉庫にリリース","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","販売注文を倉庫にリリース"
"倉庫管理","倉庫にリリース","","","移動オーダーを倉庫にリリース","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","移動オーダーを倉庫にリリース"
"倉庫管理","倉庫にリリース","","","出庫オーダーを倉庫にリリースする","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","出庫オーダーを倉庫にリリースする"
"倉庫管理","倉庫にリリース","","","販売注文の自動リリース","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","販売注文の自動リリース"
"倉庫管理","倉庫にリリース","","","移動オーダーの自動リリース","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","移動オーダーの自動リリース"
"倉庫管理","倉庫にリリース","","","出庫オーダーの自動リリース","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","出庫オーダーの自動リリース"
"倉庫管理","倉庫にリリース","","","BOM およびフォーミュラ明細行の自動リリース","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","BOM およびフォーミュラ明細行の自動リリース"
"倉庫管理","倉庫にリリース","","","出荷連結ワークベンチ","[""mainmenu"",""WHS"",""ReleaseToWarehouse""]","","","出荷連結ワークベンチ"
"倉庫管理","出荷","","","すべての出荷","[""mainmenu"",""WHS"",""Shipments""]","","","すべての出荷"
"倉庫管理","出荷","","","有効な出荷","[""mainmenu"",""WHS"",""Shipments""]","","","有効な出荷"
"倉庫管理","出荷","","","オープン出荷","[""mainmenu"",""WHS"",""Shipments""]","","","オープン出荷"
"倉庫管理","出荷","","","ウェーブ出荷","[""mainmenu"",""WHS"",""Shipments""]","","","ウェーブ出荷"
"倉庫管理","出荷","","","失敗した出荷明細行","[""mainmenu"",""WHS"",""Shipments""]","","","失敗した出荷明細行"
"倉庫管理","出荷","","","ピッキング出荷","[""mainmenu"",""WHS"",""Shipments""]","","","ピッキング出荷"
"倉庫管理","出荷","","","出荷準備が完了した出荷物","[""mainmenu"",""WHS"",""Shipments""]","","","出荷準備が完了した出荷物"
