Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"調達","ワークスペース","","","発注書の準備","[""mainmenu"",""ProcurementAndSourcing"",""Workspaces""]","","","発注書の準備"
"調達","ワークスペース","","","発注書入庫とフォローアップ","[""mainmenu"",""ProcurementAndSourcing"",""Workspaces""]","","","発注書入庫とフォローアップ"
"調達","ワークスペース","","","供給リスク評価","[""mainmenu"",""ProcurementAndSourcing"",""Workspaces""]","","","供給リスク評価"
"調達","(プレビュー) 仕入先通信エージェント","","","(プレビュー) フォローアップ メール","[""mainmenu"",""ProcurementAndSourcing"",""SupplierCommunicationsAgent""]","","","(プレビュー) フォローアップ メール"
"調達","(プレビュー) 仕入先通信エージェント","","","(プレビュー) 仕入先からのメール","[""mainmenu"",""ProcurementAndSourcing"",""SupplierCommunicationsAgent""]","","","(プレビュー) 仕入先からのメール"
"調達","発注書","","","すべての発注書","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","","","すべての発注書"
"調達","発注書","発注書の入力","","未提出の発注書","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderEntry""]","","未提出の発注書"
"調達","発注書","発注書の入力","","保留中の発注書","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderEntry""]","","保留中の発注書"
"調達","発注書","発注書の入力","","未送信の発注書","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderEntry""]","","未送信の発注書"
"調達","発注書","発注書のフォローアップ","","オーダー残購買注文明細行","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","オーダー残購買注文明細行"
"調達","発注書","発注書のフォローアップ","","遅延された入荷","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","遅延された入荷"
"調達","発注書","発注書のフォローアップ","","オーダー残購買注文明細行の詳細","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","オーダー残購買注文明細行の詳細"
"調達","発注書","発注書のフォローアップ","","配送日未確認の発注書","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","配送日未確認の発注書"
"調達","発注書","発注書のフォローアップ","","仕入先コラボレーションのために発注書が送信されました。応答を待っています","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","仕入先コラボレーションのために発注書が送信されました。応答を待っています"
"調達","発注書","発注書のフォローアップ","","仕入先コラボレーションのために発注書が送信されました。応答でアクションが要求されています","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","仕入先コラボレーションのために発注書が送信されました。応答でアクションが要求されています"
"調達","発注書","発注書のフォローアップ","","発注書仕入先確認履歴","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders""]","[""mainmenu"",""ProcurementAndSourcing"",""PurchaseOrders"",""PurchaseOrderFollowUp""]","","発注書仕入先確認履歴"
