Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"買掛金管理","ワークスペース","","","仕入先請求書入力","[""mainmenu"",""AccountsPayable"",""Workspaces""]","","","仕入先請求書入力"
"買掛金管理","ワークスペース","","","仕入先請求書の自動化","[""mainmenu"",""AccountsPayable"",""Workspaces""]","","","仕入先請求書の自動化"
"買掛金管理","ワークスペース","","","仕入先支払","[""mainmenu"",""AccountsPayable"",""Workspaces""]","","","仕入先支払"
"買掛金管理","仕入先","","","すべての仕入先","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","すべての仕入先"
"買掛金管理","仕入先","","","保留中の仕入先","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","保留中の仕入先"
"買掛金管理","仕入先","","","期限切れの仕入先","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","期限切れの仕入先"
"買掛金管理","仕入先","","","ダイバーシティを推進している仕入先","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","ダイバーシティを推進している仕入先"
"買掛金管理","仕入先","","","仕入先例外グループ","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","仕入先例外グループ"
"買掛金管理","仕入先","","","仕入先グループ","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","仕入先グループ"
"買掛金管理","仕入先","","","仕入先価格許容範囲グループ","[""mainmenu"",""AccountsPayable"",""Vendors""]","","","仕入先価格許容範囲グループ"
"買掛金管理","発注書","","","すべての発注書","[""mainmenu"",""AccountsPayable"",""PurchaseOrders""]","","","すべての発注書"
"買掛金管理","発注書","","","自分に割り当てられた発注書","[""mainmenu"",""AccountsPayable"",""PurchaseOrders""]","","","自分に割り当てられた発注書"
"買掛金管理","発注書","","","受入済未請求発注書","[""mainmenu"",""AccountsPayable"",""PurchaseOrders""]","","","受入済未請求発注書"
"買掛金管理","発注書","","","購買契約書","[""mainmenu"",""AccountsPayable"",""PurchaseOrders""]","","","購買契約書"
"買掛金管理","発注書","","","未処理前払","[""mainmenu"",""AccountsPayable"",""PurchaseOrders""]","","","未処理前払"
"買掛金管理","請求書","","","保留中の仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","保留中の仕入先請求書"
"買掛金管理","請求書","","","自分に割り当てられている保留中の仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","自分に割り当てられている保留中の仕入先請求書"
"買掛金管理","請求書","","","請求仕訳帳","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","請求仕訳帳"
"買掛金管理","請求書","","","グローバル請求仕訳帳","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","グローバル請求仕訳帳"
"買掛金管理","請求書","","","未処理の仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","未処理の仕入先請求書"
"買掛金管理","請求書","","","今日が期限の仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","今日が期限の仕入先請求書"
"買掛金管理","請求書","","","期限切れの仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","期限切れの仕入先請求書"
"買掛金管理","請求書","","","自分が属しているキューに割り当てられている仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","自分が属しているキューに割り当てられている仕入先請求書"
"買掛金管理","請求書","","","仕入帳","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","仕入帳"
"買掛金管理","請求書","","","請求管理グループ","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","請求管理グループ"
"買掛金管理","請求書","","","請求書の承認","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","","","請求書の承認"
"買掛金管理","請求書","インポートの失敗","","インポートに失敗した仕入先請求書","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","[""mainmenu"",""AccountsPayable"",""VendorInvoices"",""InvoiceException""]","","インポートに失敗した仕入先請求書"
"買掛金管理","請求書","定期請求書","","保留中の仕入先定期請求書の転記","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","[""mainmenu"",""AccountsPayable"",""VendorInvoices"",""RecurringInvoices""]","","保留中の仕入先定期請求書の転記"
"買掛金管理","請求書","定期請求書","","仕入先定期請求書の生成","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","[""mainmenu"",""AccountsPayable"",""VendorInvoices"",""RecurringInvoices""]","","仕入先定期請求書の生成"
"買掛金管理","請求書","定期請求書","","仕入先請求書テンプレート","[""mainmenu"",""AccountsPayable"",""VendorInvoices""]","[""mainmenu"",""AccountsPayable"",""VendorInvoices"",""RecurringInvoices""]","","仕入先請求書テンプレート"
"買掛金管理","支払","","","仕入先支払仕訳帳","[""mainmenu"",""AccountsPayable"",""Payments""]","","","仕入先支払仕訳帳"
"買掛金管理","支払","","","自分に割り当てられている支払仕訳帳","[""mainmenu"",""AccountsPayable"",""Payments""]","","","自分に割り当てられている支払仕訳帳"
"買掛金管理","支払","","","振替","[""mainmenu"",""AccountsPayable"",""Payments""]","","","振替"
"買掛金管理","支払","","","仕入先の先日付小切手","[""mainmenu"",""AccountsPayable"",""Payments""]","","","仕入先の先日付小切手"
"買掛金管理","支払","支払手形","","支払手形仕訳帳の振出","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""PromissoryNotes""]","","支払手形仕訳帳の振出"
"買掛金管理","支払","支払手形","","支払手形仕訳帳の再振出","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""PromissoryNotes""]","","支払手形仕訳帳の再振出"
"買掛金管理","支払","支払手形","","送金仕訳帳","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""PromissoryNotes""]","","送金仕訳帳"
"買掛金管理","支払","支払手形","","支払手形仕訳帳の決済","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""PromissoryNotes""]","","支払手形仕訳帳の決済"
"買掛金管理","支払","相殺決済","","顧客と仕入先の残高の相殺決済","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""Netting""]","","顧客と仕入先の残高の相殺決済"
"買掛金管理","支払","相殺決済","","相殺決済契約","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""Netting""]","","相殺決済契約"
"買掛金管理","支払","相殺決済","","相殺決済ルール","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""Netting""]","","相殺決済ルール"
"買掛金管理","支払","相殺決済","","プロセスの自動化","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""Netting""]","","プロセスの自動化"
"買掛金管理","支払","相殺決済","","自動相殺決済","[""mainmenu"",""AccountsPayable"",""Payments""]","[""mainmenu"",""AccountsPayable"",""Payments"",""Netting""]","","自動相殺決済"
"買掛金管理","ブローカーおよびロイヤルティ","","","ブローカー契約","[""mainmenu"",""AccountsPayable"",""MCRBrokerAndRoyalties""]","","","ブローカー契約"
"買掛金管理","ブローカーおよびロイヤルティ","","","ブローカー クレーム","[""mainmenu"",""AccountsPayable"",""MCRBrokerAndRoyalties""]","","","ブローカー クレーム"
"買掛金管理","ブローカーおよびロイヤルティ","","","ロイヤルティ契約","[""mainmenu"",""AccountsPayable"",""MCRBrokerAndRoyalties""]","","","ロイヤルティ契約"
