Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"売掛金管理","ワークスペース","","","顧客請求書","[""mainmenu"",""AccountsReceivable"",""Workspaces""]","","","顧客請求書"
"売掛金管理","ワークスペース","","","顧客支払","[""mainmenu"",""AccountsReceivable"",""Workspaces""]","","","顧客支払"
"売掛金管理","顧客","","","すべての顧客","[""mainmenu"",""AccountsReceivable"",""Customers""]","","","すべての顧客"
"売掛金管理","顧客","","","保留中の顧客","[""mainmenu"",""AccountsReceivable"",""Customers""]","","","保留中の顧客"
"売掛金管理","顧客","","","期日が経過した顧客","[""mainmenu"",""AccountsReceivable"",""Customers""]","","","期日が経過した顧客"
"売掛金管理","顧客","","","顧客のマージ解除","[""mainmenu"",""AccountsReceivable"",""Customers""]","","","顧客のマージ解除"
"売掛金管理","注文","","","すべての販売注文","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","すべての販売注文"
"売掛金管理","注文","","","仮引当センターに障害が発生しました","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","仮引当センターに障害が発生しました"
"売掛金管理","注文","","","販売注文の作成","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","販売注文の作成"
"売掛金管理","注文","","","出荷済で未請求の販売注文","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","出荷済で未請求の販売注文"
"売掛金管理","注文","","","履行済のすべての注文","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","履行済のすべての注文"
"売掛金管理","注文","","","部分的にピッキングされたすべての注文","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","部分的にピッキングされたすべての注文"
"売掛金管理","注文","","","会社間注文","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","会社間注文"
"売掛金管理","注文","","","すべての返品注文","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","すべての返品注文"
"売掛金管理","注文","","","販売契約書","[""mainmenu"",""AccountsReceivable"",""Orders""]","","","販売契約書"
"売掛金管理","請求書","","","自由書式の請求書の最適化","[""mainmenu"",""AccountsReceivable"",""Invoices""]","","","自由書式の請求書の最適化"
"売掛金管理","請求書","","","すべての自由書式の請求書","[""mainmenu"",""AccountsReceivable"",""Invoices""]","","","すべての自由書式の請求書"
