Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"輸送管理","計画","","","積荷計画ワークベンチ","[""mainmenu"",""TMS"",""Planning""]","","","積荷計画ワークベンチ"
"輸送管理","計画","","","入荷積荷計画ワークベンチ","[""mainmenu"",""TMS"",""Planning""]","","","入荷積荷計画ワークベンチ"
"輸送管理","計画","","","出荷積荷計画ワークベンチ","[""mainmenu"",""TMS"",""Planning""]","","","出荷積荷計画ワークベンチ"
"輸送管理","計画","","","積荷構築ワークベンチ","[""mainmenu"",""TMS"",""Planning""]","","","積荷構築ワークベンチ"
"輸送管理","計画","","","ルート ワークベンチの評価","[""mainmenu"",""TMS"",""Planning""]","","","ルート ワークベンチの評価"
"輸送管理","計画","積載","","すべての貨物","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Loads""]","","すべての貨物"
"輸送管理","計画","積載","","有効な積荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Loads""]","","有効な積荷"
"輸送管理","計画","積載","","オープン積荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Loads""]","","オープン積荷"
"輸送管理","計画","積載","","ウェーブ積荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Loads""]","","ウェーブ積荷"
"輸送管理","計画","積載","","ピッキング積荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Loads""]","","ピッキング積荷"
"輸送管理","計画","積載","","出荷準備が完了した積荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Loads""]","","出荷準備が完了した積荷"
"輸送管理","計画","出荷","","すべての出荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Shipments""]","","すべての出荷"
"輸送管理","計画","出荷","","有効な出荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Shipments""]","","有効な出荷"
"輸送管理","計画","出荷","","オープン出荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Shipments""]","","オープン出荷"
"輸送管理","計画","出荷","","ウェーブ出荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Shipments""]","","ウェーブ出荷"
"輸送管理","計画","出荷","","ピッキング出荷","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Shipments""]","","ピッキング出荷"
"輸送管理","計画","出荷","","出荷準備が完了した出荷物","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""Shipments""]","","出荷準備が完了した出荷物"
"輸送管理","計画","予定のスケジューリングのドッキング","","配送担当者のチェックイン/チェックアウト","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""DockAppointmentScheduling""]","","配送担当者のチェックイン/チェックアウト"
"輸送管理","計画","予定のスケジューリングのドッキング","","予定のスケジューリング","[""mainmenu"",""TMS"",""Planning""]","[""mainmenu"",""TMS"",""Planning"",""DockAppointmentScheduling""]","","予定のスケジューリング"
