Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"与信および回収","ワークスペース","","","顧客の与信および回収","[""mainmenu"",""CreditAndCollections"",""CreditAndCollectionsWorkspaces""]","","","顧客の与信および回収"
"与信および回収","ワークスペース","","","回収コーディネーター","[""mainmenu"",""CreditAndCollections"",""CreditAndCollectionsWorkspaces""]","","","回収コーディネーター"
"与信および回収","顧客","","","すべての顧客","[""mainmenu"",""CreditAndCollections"",""Customers""]","","","すべての顧客"
"与信および回収","顧客","","","保留中の顧客","[""mainmenu"",""CreditAndCollections"",""Customers""]","","","保留中の顧客"
"与信および回収","顧客","","","期日が経過した顧客","[""mainmenu"",""CreditAndCollections"",""Customers""]","","","期日が経過した顧客"
"与信および回収","顧客","","","顧客のマージ解除","[""mainmenu"",""CreditAndCollections"",""Customers""]","","","顧客のマージ解除"
"与信および回収","顧客","","","顧客の与信グループ","[""mainmenu"",""CreditAndCollections"",""Customers""]","","","顧客の与信グループ"
"与信および回収","回収","","","指定の期間に達している残高","[""mainmenu"",""CreditAndCollections"",""Collections""]","","","指定の期間に達している残高"
"与信および回収","回収","","","回収ケース","[""mainmenu"",""CreditAndCollections"",""Collections""]","","","回収ケース"
"与信および回収","回収","","","回収活動","[""mainmenu"",""CreditAndCollections"",""Collections""]","","","回収活動"
"与信および回収","与信管理の保留リスト","","","すべての与信保留","[""mainmenu"",""CreditAndCollections"",""CreditControlRelease""]","","","すべての与信保留"
"与信および回収","与信管理の保留リスト","","","未処理の与信保留","[""mainmenu"",""CreditAndCollections"",""CreditControlRelease""]","","","未処理の与信保留"
"与信および回収","与信管理の保留リスト","","","クローズ済の与信保留","[""mainmenu"",""CreditAndCollections"",""CreditControlRelease""]","","","クローズ済の与信保留"
"与信および回収","与信管理の保留リスト","","","与信保留のレビュー期限","[""mainmenu"",""CreditAndCollections"",""CreditControlRelease""]","","","与信保留のレビュー期限"
"与信および回収","与信限度額の調整","","","与信限度額の調整","[""mainmenu"",""CreditAndCollections"",""CreditLimitAdjustments""]","","","与信限度額の調整"
"与信および回収","利息","","","利息コードの設定","[""mainmenu"",""CreditAndCollections"",""Interest""]","","","利息コードの設定"
"与信および回収","利息","","","利子計算書の作成","[""mainmenu"",""CreditAndCollections"",""Interest""]","","","利子計算書の作成"
"与信および回収","利息","","","利子計算書の確認と処理","[""mainmenu"",""CreditAndCollections"",""Interest""]","","","利子計算書の確認と処理"
"与信および回収","利息","","","利息仕訳帳","[""mainmenu"",""CreditAndCollections"",""Interest""]","","","利息仕訳帳"
"与信および回収","利息","","","利子計算書レポート","[""mainmenu"",""CreditAndCollections"",""Interest""]","","","利子計算書レポート"
"与信および回収","督促状","","","督促状の順序を設定します","[""mainmenu"",""CreditAndCollections"",""CollectionLetter""]","","","督促状の順序を設定します"
"与信および回収","督促状","","","督促状の作成","[""mainmenu"",""CreditAndCollections"",""CollectionLetter""]","","","督促状の作成"
"与信および回収","督促状","","","督促状の転記","[""mainmenu"",""CreditAndCollections"",""CollectionLetter""]","","","督促状の転記"
"与信および回収","督促状","","","督促状の確認と処理","[""mainmenu"",""CreditAndCollections"",""CollectionLetter""]","","","督促状の確認と処理"
"与信および回収","督促状","","","督促状仕訳帳","[""mainmenu"",""CreditAndCollections"",""CollectionLetter""]","","","督促状仕訳帳"
"与信および回収","督促状","","","督促状レポート","[""mainmenu"",""CreditAndCollections"",""CollectionLetter""]","","","督促状レポート"
"与信および回収","支払","","","顧客支払仕訳帳","[""mainmenu"",""CreditAndCollections"",""Payments""]","","","顧客支払仕訳帳"
"与信および回収","支払","","","自分に割り当てられている支払仕訳帳","[""mainmenu"",""CreditAndCollections"",""Payments""]","","","自分に割り当てられている支払仕訳帳"
"与信および回収","支払","","","振替","[""mainmenu"",""CreditAndCollections"",""Payments""]","","","振替"
"与信および回収","支払","受取手形","","受取手形振出仕訳帳","[""mainmenu"",""CreditAndCollections"",""Payments""]","[""mainmenu"",""CreditAndCollections"",""Payments"",""BillOfExchange""]","","受取手形振出仕訳帳"
"与信および回収","支払","受取手形","","受取手形受取拒否仕訳帳","[""mainmenu"",""CreditAndCollections"",""Payments""]","[""mainmenu"",""CreditAndCollections"",""Payments"",""BillOfExchange""]","","受取手形受取拒否仕訳帳"
"与信および回収","支払","受取手形","","受取手形仕訳の振出","[""mainmenu"",""CreditAndCollections"",""Payments""]","[""mainmenu"",""CreditAndCollections"",""Payments"",""BillOfExchange""]","","受取手形仕訳の振出"
"与信および回収","支払","受取手形","","送金仕訳帳","[""mainmenu"",""CreditAndCollections"",""Payments""]","[""mainmenu"",""CreditAndCollections"",""Payments"",""BillOfExchange""]","","送金仕訳帳"
"与信および回収","支払","受取手形","","受取手形仕訳帳の決済","[""mainmenu"",""CreditAndCollections"",""Payments""]","[""mainmenu"",""CreditAndCollections"",""Payments"",""BillOfExchange""]","","受取手形仕訳帳の決済"
"与信および回収","定期処理のタスク","","","指定の期間に達している顧客残高","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","","","指定の期間に達している顧客残高"
"与信および回収","定期処理のタスク","","","財務を更新","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","","","財務を更新"
"与信および回収","定期処理のタスク","","","顧客勘定明細書","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","","","顧客勘定明細書"
"与信および回収","定期処理のタスク","","","払い戻し","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","","","払い戻し"
"与信および回収","定期処理のタスク","与信の管理","","与信保留の強制","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses"",""CredManPeriodicProcesses""]","","与信保留の強制"
"与信および回収","定期処理のタスク","与信の管理","","残高統計の計算","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses"",""CredManPeriodicProcesses""]","","残高統計の計算"
"与信および回収","定期処理のタスク","与信の管理","","リスク スコアの更新","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses"",""CredManPeriodicProcesses""]","","リスク スコアの更新"
"与信および回収","定期処理のタスク","与信の管理","","期限切れの残高統計レコードを削除する","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses""]","[""mainmenu"",""CreditAndCollections"",""PeriodicProcesses"",""CredManPeriodicProcesses""]","","期限切れの残高統計レコードを削除する"
"与信および回収","照会およびレポート","","","損金処理仕訳帳","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports""]","","","損金処理仕訳帳"
"与信および回収","照会およびレポート","","","詳細期日リスト レポート","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports""]","","","詳細期日リスト レポート"
"与信および回収","照会およびレポート","顧客","","顧客エイジング レポート","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports""]","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports"",""CustomerInquiriesReports""]","","顧客エイジング レポート"
"与信および回収","照会およびレポート","顧客","","顧客エイジング データ ストレージ","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports""]","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports"",""CustomerInquiriesReports""]","","顧客エイジング データ ストレージ"
"与信および回収","照会およびレポート","顧客","","顧客残高リスト レポート","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports""]","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports"",""CustomerInquiriesReports""]","","顧客残高リスト レポート"
"与信および回収","照会およびレポート","顧客","","与信限度額を含む顧客残高リスト レポート","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports""]","[""mainmenu"",""CreditAndCollections"",""InquiriesAndReports"",""CustomerInquiriesReports""]","","与信限度額を含む顧客残高リスト レポート"
