Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"陸揚原価","航海","","","すべての航海","[""mainmenu"",""ITM"",""Shipments""]","","","すべての航海"
"陸揚原価","航海","","","受領済航海","[""mainmenu"",""ITM"",""Shipments""]","","","受領済航海"
"陸揚原価","出荷コンテナー","","","すべての出荷コンテナー","[""mainmenu"",""ITM"",""Containers""]","","","すべての出荷コンテナー"
"陸揚原価","フォリオ","","","すべてのフォリオ","[""mainmenu"",""ITM"",""Folios""]","","","すべてのフォリオ"
"陸揚原価","追跡","","","入庫追跡","[""mainmenu"",""ITM"",""Tracking""]","","","入庫追跡"
"陸揚原価","照会","","","過剰/過少トランザクション","[""mainmenu"",""ITM"",""Inquiries""]","","","過剰/過少トランザクション"
"陸揚原価","照会","","","航海明細行","[""mainmenu"",""ITM"",""Inquiries""]","","","航海明細行"
"陸揚原価","照会","","","原価見積","[""mainmenu"",""ITM"",""Inquiries""]","","","原価見積"
"陸揚原価","照会","追跡","","品目追跡","[""mainmenu"",""ITM"",""Inquiries""]","[""mainmenu"",""ITM"",""Inquiries"",""InquiryTracking""]","","品目追跡"
"陸揚原価","照会","追跡","","個別出荷コンテナー トラッキング","[""mainmenu"",""ITM"",""Inquiries""]","[""mainmenu"",""ITM"",""Inquiries"",""InquiryTracking""]","","個別出荷コンテナー トラッキング"
"陸揚原価","照会","追跡","","複数出荷コンテナー トラッキング","[""mainmenu"",""ITM"",""Inquiries""]","[""mainmenu"",""ITM"",""Inquiries"",""InquiryTracking""]","","複数出荷コンテナー トラッキング"
"陸揚原価","レポート","","","未払い請求書","[""mainmenu"",""ITM"",""Reports""]","","","未払い請求書"
"陸揚原価","レポート","","","活動/プロバイダーの分析 (活動別)","[""mainmenu"",""ITM"",""Reports""]","","","活動/プロバイダーの分析 (活動別)"
"陸揚原価","レポート","","","活動/プロバイダーの分析 (プロバイダー別)","[""mainmenu"",""ITM"",""Reports""]","","","活動/プロバイダーの分析 (プロバイダー別)"
"陸揚原価","レポート","原価計算","","原価別の航海原価計算","[""mainmenu"",""ITM"",""Reports""]","[""mainmenu"",""ITM"",""Reports"",""Costing""]","","原価別の航海原価計算"
"陸揚原価","レポート","原価計算","","レポート カテゴリ別の航海原価計算","[""mainmenu"",""ITM"",""Reports""]","[""mainmenu"",""ITM"",""Reports"",""Costing""]","","レポート カテゴリ別の航海原価計算"
"陸揚原価","レポート","追跡","","出荷コンテナーの入庫リスト","[""mainmenu"",""ITM"",""Reports""]","[""mainmenu"",""ITM"",""Reports"",""TrackingReports""]","","出荷コンテナーの入庫リスト"
"陸揚原価","レポート","追跡","","予定配送","[""mainmenu"",""ITM"",""Reports""]","[""mainmenu"",""ITM"",""Reports"",""TrackingReports""]","","予定配送"
"陸揚原価","定期処理のタスク","","","輸送中の商品注文","[""mainmenu"",""ITM"",""PeriodicTasks""]","","","輸送中の商品注文"
"陸揚原価","定期処理のタスク","","","原価見積","[""mainmenu"",""ITM"",""PeriodicTasks""]","","","原価見積"
"陸揚原価","定期処理のタスク","","","品目原価価格の更新","[""mainmenu"",""ITM"",""PeriodicTasks""]","","","品目原価価格の更新"
"陸揚原価","定期処理のタスク","","","航海明細行の更新","[""mainmenu"",""ITM"",""PeriodicTasks""]","","","航海明細行の更新"
"陸揚原価","定期処理のタスク","","","プット アウェイの更新追跡","[""mainmenu"",""ITM"",""PeriodicTasks""]","","","プット アウェイの更新追跡"
"陸揚原価","定期処理のタスク","航海更新","","ドキュメント受領","[""mainmenu"",""ITM"",""PeriodicTasks""]","[""mainmenu"",""ITM"",""PeriodicTasks"",""Update""]","","ドキュメント受領"
"陸揚原価","定期処理のタスク","航海更新","","輸送中","[""mainmenu"",""ITM"",""PeriodicTasks""]","[""mainmenu"",""ITM"",""PeriodicTasks"",""Update""]","","輸送中"
"陸揚原価","定期処理のタスク","航海更新","","原価計算の準備","[""mainmenu"",""ITM"",""PeriodicTasks""]","[""mainmenu"",""ITM"",""PeriodicTasks"",""Update""]","","原価計算の準備"
