Module,Group1,Group2,Group3,Item,Group1Key,Group2Key,Group3Key,ItemKey
"連結","","","","オンラインで連結","","","","オンラインで連結"
"連結","","","","インポートして連結","","","","インポートして連結"
"連結","","","","会社の残高のエクスポート","","","","会社の残高のエクスポート"
"連結","","","","消去仕訳帳","","","","消去仕訳帳"
"連結","","","","連結トランザクション","","","","連結トランザクション"
"連結","","","","財務諸表","","","","財務諸表"
"連結","設定","","","消去ルール","[""mainmenu"",""Consolidations"",""Setup""]","","","消去ルール"
"連結","設定","","","連結勘定グループ","[""mainmenu"",""Consolidations"",""Setup""]","","","連結勘定グループ"
"連結","設定","","","追加連結勘定","[""mainmenu"",""Consolidations"",""Setup""]","","","追加連結勘定"
"連結","設定","","","削除ルールの定義レポート","[""mainmenu"",""Consolidations"",""Setup""]","","","削除ルールの定義レポート"
